# w0 tr0
9.499999999999999556e-01 0.000000000000000000e+00
9.759999999999999787e-01 3.370517495704068500e+15
1.000999999999999890e+00 4.253037152805237000e+15
1.026999999999999913e+00 5.226900725632447000e+15
1.052000000000000046e+00 5.809583790583785000e+15
1.078000000000000069e+00 6.729194766013391000e+15
1.104000000000000092e+00 7.630662811033703000e+15
1.129000000000000004e+00 8.241088853089818000e+15
1.155000000000000027e+00 8.709965806009268000e+15
1.179999999999999938e+00 9.231147155974382000e+15
1.205999999999999961e+00 9.501327809433550000e+15
1.231999999999999984e+00 9.892226407180976000e+15
1.256999999999999895e+00 1.014991240101864800e+16
1.282999999999999918e+00 1.041152500021682200e+16
1.308999999999999941e+00 1.048413196062005600e+16
1.334000000000000075e+00 1.051647611374983400e+16
1.360000000000000098e+00 1.061874908106260600e+16
1.385000000000000009e+00 1.056294597795854600e+16
1.411000000000000032e+00 1.047711441206551800e+16
1.437000000000000055e+00 1.048208811218882000e+16
1.461999999999999966e+00 1.042893295064838200e+16
1.487999999999999989e+00 1.025484337811391400e+16
1.512999999999999901e+00 1.028242022960728600e+16
1.538999999999999924e+00 1.016471268276208000e+16
1.564999999999999947e+00 1.031280108005681200e+16
1.590000000000000080e+00 1.024541952524870800e+16
1.616000000000000103e+00 1.010382009501767600e+16
1.641000000000000014e+00 1.001229998546135600e+16
1.667000000000000037e+00 9.969530191688502000e+15
1.693000000000000060e+00 9.758545631093624000e+15
1.717999999999999972e+00 9.807512413582858000e+15
1.743999999999999995e+00 9.534522727058102000e+15
1.770000000000000018e+00 9.480637619649364000e+15
1.794999999999999929e+00 9.198878514486152000e+15
1.820999999999999952e+00 8.892099885423330000e+15
1.846000000000000085e+00 8.651751364485105000e+15
1.872000000000000108e+00 8.500315284415072000e+15
1.897999999999999909e+00 7.328485357995878000e+15
1.923000000000000043e+00 0.000000000000000000e+00
1.949000000000000066e+00 0.000000000000000000e+00
1.973999999999999977e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00
