## Type Ia Supernova spectrum
## Generated using SNCosmo
## Template: hsiao
## Redshift: 0.5
wavelength,flux_photlam
7000.0,9.68172562380479e-07
7001.0,9.667177822707995e-07
7002.0,9.652912430096566e-07
7003.0,9.638928030924482e-07
7004.0,9.625223209267194e-07
7005.0,9.611796548321731e-07
7006.0,9.598645808198821e-07
7007.0,9.585765458360437e-07
7008.0,9.57314914260045e-07
7009.0,9.560790501017658e-07
7010.0,9.548683170015733e-07
7011.0,9.536820782303367e-07
7012.0,9.525196966894163e-07
7013.0,9.513805349106631e-07
7014.0,9.502639550564267e-07
7015.0,9.491693189195491e-07
7016.0,9.480959879233629e-07
7017.0,9.470433231216991e-07
7018.0,9.46010685198883e-07
7019.0,9.449974344697276e-07
7020.0,9.440029308795456e-07
7021.0,9.430265044309623e-07
7022.0,9.420673664306662e-07
7023.0,9.411246981500001e-07
7024.0,9.401976803897062e-07
7025.0,9.392854934799275e-07
7026.0,9.383873172802155e-07
7027.0,9.375023311795233e-07
7028.0,9.366297140962048e-07
7029.0,9.357686444780202e-07
7030.0,9.349183003021343e-07
7031.0,9.340778590751096e-07
7032.0,9.332464978329186e-07
7033.0,9.324233931409349e-07
7034.0,9.316077210939315e-07
7035.0,9.307986573160905e-07
7036.0,9.299954045476844e-07
7037.0,9.291972754365045e-07
7038.0,9.284036098326962e-07
7039.0,9.276137472099053e-07
7040.0,9.268270266652784e-07
7041.0,9.260427869194664e-07
7042.0,9.25260366316624e-07
7043.0,9.244791028244038e-07
7044.0,9.236983340339646e-07
7045.0,9.229173971599676e-07
7046.0,9.221356290405726e-07
7047.0,9.213523661374462e-07
7048.0,9.205669445357571e-07
7049.0,9.19778699944171e-07
7050.0,9.189869676948627e-07
7051.0,9.18191147531374e-07
7052.0,9.173908980457195e-07
7053.0,9.165859424434349e-07
7054.0,9.157760037740789e-07
7055.0,9.149608049312334e-07
7056.0,9.141400686525095e-07
7057.0,9.133135175195431e-07
7058.0,9.124808739579939e-07
7059.0,9.116418602375484e-07
7060.0,9.107961984719203e-07
7061.0,9.09943610618844e-07
7062.0,9.090838184800846e-07
7063.0,9.082165437014312e-07
7064.0,9.073415077726954e-07
7065.0,9.064584320277191e-07
7066.0,9.055671088057698e-07
7067.0,9.046676150163128e-07
7068.0,9.037600987958058e-07
7069.0,9.028447083664351e-07
7070.0,9.019215920361107e-07
7071.0,9.009908981984774e-07
7072.0,9.000527753329058e-07
7073.0,8.991073720044924e-07
7074.0,8.981548368640672e-07
7075.0,8.971953186481878e-07
7076.0,8.962289661791354e-07
