wavelength,flux_photlam
10001.3,2.4614255320845747e-06
10012.3,2.736196001959545e-06
10023.3,1.5320904223224586e-06
10034.3,3.643659462996054e-06
10045.3,2.491983468713727e-06
10056.3,3.1543162255442393e-06
10067.3,3.700495724142403e-06
10078.3,2.9304761093941907e-06
10089.3,2.8088421921794586e-06
10100.3,1.5254441507805052e-06
10111.3,3.040016570573589e-06
10122.3,2.126548094234464e-06
10133.3,3.4235648245710696e-06
10144.3,2.8645102509649683e-06
10155.3,2.8708197555683255e-06
10166.3,2.4411842642617964e-06
10177.3,3.331550675732229e-06
10188.3,2.7902095748107056e-06
10199.3,2.2380918844679514e-06
10210.3,3.035578969705549e-06
10221.3,1.8055511686725533e-06
10232.3,2.831170944443394e-06
10243.3,2.9389403664790188e-06
10254.3,2.4772498473594527e-06
10265.3,2.7496121637009232e-06
10276.3,2.86095592541686e-06
10287.3,2.6765922671766935e-06
10298.3,2.1035974756883162e-06
10309.3,1.8203299938866148e-06
10320.3,1.5302686698709751e-06
10331.3,1.7280234626161515e-06
10342.3,1.6302205098093512e-06
10353.3,2.108186346629447e-06
10364.3,2.6575676483107956e-06
10375.3,3.715022728125998e-06
10386.3,3.3423203497371907e-06
10397.3,2.136808854263058e-06
10408.3,2.2807666885180696e-06
10419.3,2.0408306511301317e-06
10430.3,1.7339915688987034e-06
10441.3,2.71777863327651e-06
10452.3,1.6382333929305886e-06
10463.3,2.743618931916047e-06
10474.3,2.3669520750685595e-06
10485.3,3.2733127371024596e-06
10496.3,2.7792244007414164e-06
10507.3,2.782042842452199e-06
10518.3,2.797346779154321e-06
10529.3,1.8936416660199882e-06
10540.3,2.2272958692819243e-06
10551.3,2.353287142872039e-06
10562.3,2.487674219695339e-06
10573.3,2.1861224916861273e-06
10584.3,2.4421973138310846e-06
10595.3,2.3597322977721453e-06
10606.3,2.4631020025748296e-06
10617.3,2.066147618481147e-06
10628.3,2.2483728788512122e-06
10639.3,2.4654192886077887e-06
10650.3,1.9785687090163336e-06
10661.3,2.524723151291003e-06
10672.3,2.3380995272159538e-06
10683.3,2.4738459081603726e-06
10694.3,1.8126662305098216e-06
10705.3,1.9391278488146623e-06
10716.3,2.191963599052956e-06
10727.3,2.8905291121405675e-06
10738.3,1.8251661340539527e-06
10749.3,2.8232159578661713e-06
10760.3,2.3376439605279705e-06
10771.3,2.825940726100111e-06
10782.3,2.3936739637618593e-06
10793.3,2.3993228029787033e-06
10804.3,3.0526229224808807e-06
10815.3,2.7653981332591405e-06
10826.3,2.04314935237911e-06
10837.3,2.50526743111574e-06
10848.3,2.3749085960596148e-06
10859.3,3.0536014029730648e-06
10870.3,2.5915134897553113e-06
10881.3,2.186979063217577e-06
10892.3,2.5231980992795935e-06
10903.3,2.1955245069450814e-06
10914.3,2.4519301217152872e-06
10925.3,2.8875747195056613e-06
10936.3,2.5383395451749124e-06
10947.3,3.107988736673195e-06
10958.3,1.8651021917192044e-06
10969.3,1.8391160827174276e-06
10980.3,2.1258235685672677e-06
10991.3,2.0512997327842615e-06
11002.3,1.6699969307299827e-06
11013.3,1.8188490824439929e-06
11024.3,1.8105257664721545e-06
11035.3,3.3772321562787173e-06
11046.3,2.4644853011279268e-06
11057.3,2.7883463279083654e-06
11068.3,2.471603989391747e-06
11079.3,2.2776661001341307e-06
11090.3,2.286239029866251e-06
11101.3,2.2253758943748438e-06
11112.3,1.788090805640167e-06
11123.3,2.429962733456021e-06
11134.3,2.273213517221705e-06
11145.3,1.5708243099001614e-06
11156.3,2.613988684867892e-06
11167.3,2.8538791905189974e-06
11178.3,2.256162053760921e-06
11189.3,3.297589823903716e-06
11200.3,2.932903159606835e-06
11211.3,2.5153458634565714e-06
11222.3,1.7769274739791535e-06
11233.3,2.4721974961393675e-06
11244.3,1.5570420455905294e-06
11255.3,2.2118142719560655e-06
11266.3,1.7147758954724034e-06
11277.3,2.8058045635683973e-06
11288.3,2.649792240204698e-06
11299.3,2.539265082578e-06
11310.3,1.7033144057579656e-06
11321.3,2.1793455338437815e-06
11332.3,2.2290126365966367e-06
11343.3,2.574426534584675e-06
11354.3,2.9294841001013585e-06
11365.3,3.2227994666053633e-06
11376.3,1.3539637817364163e-06
11387.3,2.602985883733725e-06
11398.3,2.7674845511371234e-06
11409.3,1.5704489507242159e-06
11420.3,2.119650504637098e-06
11431.3,1.5066420945373987e-06
11442.3,2.04810944142183e-06
11453.3,1.6911504857834842e-06
11464.3,2.1381539774590334e-06
11475.3,1.944942194410055e-06
11486.3,2.0236156777358497e-06
11497.3,3.077916019390208e-06
11508.3,1.268803076861832e-06
11519.3,2.4873818526681132e-06
11530.3,2.3390000515285408e-06
11541.3,2.8432286716871547e-06
11552.3,2.1904984879352656e-06
11563.3,2.0755690913205133e-06
11574.3,1.4140829788694323e-06
11585.3,1.9763392502550686e-06
11596.3,1.973920937874335e-06
11607.3,2.580052616830904e-06
11618.3,1.6478713559493633e-06
11629.3,2.948728167611392e-06
11640.3,2.078045023071837e-06
11651.3,2.9193258325516144e-06
11662.3,2.3073842183539385e-06
11673.3,1.8853783629146324e-06
11684.3,2.9289176977572167e-06
11695.3,1.5214584062300025e-06
11706.3,1.8397589793035107e-06
11717.3,3.3359528516226667e-06
11728.3,2.2070900550406e-06
11739.3,1.7706981377576468e-06
11750.3,2.351101842409719e-06
11761.3,2.036655598449912e-06
11772.3,2.710321637256865e-06
11783.3,2.4735941466748024e-06
11794.3,1.170789997648366e-06
11805.3,2.309915946098695e-06
11816.3,1.4005781427252937e-06
11827.3,2.112246642650591e-06
11838.3,1.9105904070082387e-06
11849.3,2.02296417304704e-06
11860.3,2.4872488242047153e-06
11871.3,8.976489262683763e-07
11882.3,3.7999105791857914e-06
11893.3,2.0864039191173763e-06
11904.3,2.5153162076369636e-06
11915.3,2.112735343924027e-06
11926.3,2.187575985839823e-06
11937.3,2.656858092681616e-06
11948.3,1.120280646533201e-06
11959.3,2.5431155754180003e-06
11970.3,1.9364719104607363e-06
11981.3,1.9251304321420994e-06
11992.3,2.9843505551863355e-06
12003.3,1.5590932139550416e-06
12014.3,2.0124528217938177e-06
12025.3,2.010319925347256e-06
12036.3,1.084111489925469e-06
12047.3,1.6702549344949257e-06
12058.3,2.0512962659090002e-06
12069.3,1.561081496180699e-06
12080.3,1.8987927447635518e-06
12091.3,1.6303205312065038e-06
12102.3,1.4058948545359835e-06
12113.3,1.6268651042159833e-06
12124.3,2.046812182424951e-06
12135.3,2.21346940770425e-06
12146.3,2.04092323835537e-06
12157.3,1.839644550964484e-06
12168.3,1.9174817053191056e-06
12179.3,2.450179596485774e-06
12190.3,2.5120882729983608e-06
12201.3,1.5383086172737816e-06
12212.3,2.7040927035230458e-06
12223.3,1.5155459112894878e-06
12234.3,2.2449108139249266e-06
12245.3,1.7403791824570265e-06
12256.3,1.9128141797650452e-06
12267.3,1.1857296965549316e-06
12278.3,1.8021110719563973e-06
12289.3,2.199500683970785e-06
12300.3,1.5689622815510428e-06
12311.3,2.458250296269664e-06
12322.3,1.6970084009882314e-06
12333.3,2.375775590014573e-06
12344.3,1.778193148022547e-06
12355.3,1.9416959357482386e-06
12366.3,1.5407553579198999e-06
12377.3,1.4863850783166022e-06
12388.3,2.091989695714341e-06
12399.3,1.0475056848951895e-06
12410.3,8.972582209001897e-07
12421.3,1.963372381740983e-06
12432.3,2.0595947706986853e-06
12443.3,3.207740281955379e-06
12454.3,1.7343798614248872e-06
12465.3,1.8227250293480033e-06
