wavelength,flux_photlam
10009.35,1.5092022028140468e-06
10020.35,1.0052084795610396e-06
10031.35,1.3250691329175553e-06
10042.35,1.9281807201568438e-06
10053.35,1.4873639581879073e-06
10064.35,2.2282075064999655e-06
10075.35,2.1431982087296413e-06
10086.35,2.301216887502252e-06
10097.35,1.0646958392238911e-06
10108.35,1.6458007641231645e-06
10119.35,1.1552231669171312e-06
10130.35,1.7459115435608797e-06
10141.35,1.54965072661893e-06
10152.35,1.1706415575492117e-06
10163.35,1.1481255685107817e-06
10174.35,1.482101313665089e-06
10185.35,1.1612051310251563e-06
10196.35,1.941688956481751e-06
10207.35,1.9838012866663076e-06
10218.35,2.1523626094629837e-06
10229.35,1.676434041607675e-06
10240.35,2.113356026602371e-06
10251.35,1.217031745778284e-06
10262.35,1.63427199062673e-06
10273.35,1.8495859440026731e-06
10284.35,1.4942333066002443e-06
10295.35,1.8438906908729267e-06
10306.35,1.919390929719233e-06
10317.35,1.1613570358600723e-06
10328.35,1.0546715638889572e-06
10339.35,8.822571259205516e-07
10350.35,2.3178001404997843e-06
10361.35,1.4104025575210787e-06
10372.35,1.6623296577961712e-06
10383.35,1.4179353983564574e-06
10394.35,1.6581698012109734e-06
10405.35,1.981872744208826e-06
10416.35,1.208487369235668e-06
10427.35,1.5699014584449341e-06
10438.35,1.5023425715782088e-06
10449.35,2.002173174827095e-06
10460.35,1.6517598231090405e-06
10471.35,1.3164709148395079e-06
10482.35,1.9382105831799397e-06
10493.35,1.6108357245903537e-06
10504.35,1.5034934559311714e-06
10515.35,1.6401359904272172e-06
10526.35,1.656295972041855e-06
10537.35,2.04568188163577e-06
10548.35,1.4651837125942831e-06
10559.35,1.79028891421649e-06
10570.35,2.4292869528651894e-06
10581.35,1.7440234008805735e-06
10592.35,1.7706034180781133e-06
10603.35,1.4516955618658986e-06
10614.35,2.2189175433134097e-06
10625.35,1.1638517401894985e-06
10636.35,1.735886781927768e-06
10647.35,2.010313598834528e-06
10658.35,2.012634091272522e-06
10669.35,1.4415439364050651e-06
10680.35,1.536191798083937e-06
10691.35,1.0488944245656276e-06
10702.35,2.5112772241851237e-06
10713.35,1.4777480393516315e-06
10724.35,1.673857253165856e-06
10735.35,8.539859167517281e-07
10746.35,1.1921513621085597e-06
10757.35,1.430695063158688e-06
10768.35,2.1193904699736115e-06
10779.35,1.8682264979280369e-06
10790.35,2.2113052668999443e-06
10801.35,1.8160802288101499e-06
