## Type Ia Supernova spectrum
## Generated using SNCosmo
## Template: hsiao
## Redshift: 1.191721
wavelength,flux_photlam
7000.0,6.471563396306308e-08
7001.0,6.447174388362009e-08
7002.0,6.422711093279405e-08
7003.0,6.398204163600757e-08
7004.0,6.373684269393072e-08
7005.0,6.349182098247938e-08
7006.0,6.324728355281574e-08
7007.0,6.30035376313493e-08
7008.0,6.276089061973489e-08
7009.0,6.251965009487492e-08
7010.0,6.228012380891741e-08
7011.0,6.204261968925689e-08
7012.0,6.180744583853503e-08
7013.0,6.1574910534639e-08
7014.0,6.134531776172123e-08
7015.0,6.111886531457212e-08
7016.0,6.089564270585604e-08
7017.0,6.067573462410246e-08
7018.0,6.04592258053127e-08
7019.0,6.024620103296148e-08
7020.0,6.003674513799523e-08
7021.0,5.983094299883388e-08
7022.0,5.962887954136925e-08
7023.0,5.943063973896584e-08
7024.0,5.923630861246126e-08
7025.0,5.904597123016503e-08
7026.0,5.885971270785992e-08
7027.0,5.867761820880082e-08
7028.0,5.849977294371515e-08
7029.0,5.832626217080352e-08
7030.0,5.815717119573837e-08
7031.0,5.799258537166544e-08
7032.0,5.783259009920243e-08
7033.0,5.767727082644026e-08
7034.0,5.752671304894194e-08
7035.0,5.7381002309743084e-08
7036.0,5.7240217682394586e-08
7037.0,5.7104330666478874e-08
7038.0,5.6973224402578456e-08
7039.0,5.684677935001373e-08
7040.0,5.6724875899006886e-08
7041.0,5.660739437068191e-08
7042.0,5.649421501706395e-08
7043.0,5.6385218021080197e-08
7044.0,5.6280283496558883e-08
7045.0,5.617929148823035e-08
7046.0,5.608212197172613e-08
7047.0,5.598865485357937e-08
7048.0,5.5898769971225056e-08
7049.0,5.5812347092999326e-08
7050.0,5.572926591814038e-08
7051.0,5.564940607678756e-08
7052.0,5.557264712998195e-08
7053.0,5.549886856966633e-08
7054.0,5.5427949818684765e-08
7055.0,5.535977023078325e-08
7056.0,5.529420909060897e-08
7057.0,5.523114561371107e-08
7058.0,5.517046079892708e-08
7059.0,5.5112057774889575e-08
7060.0,5.5055854258169534e-08
7061.0,5.5001768177054685e-08
7062.0,5.4949717412806084e-08
7063.0,5.489961979965761e-08
7064.0,5.485139312481627e-08
7065.0,5.4804955128462223e-08
7066.0,5.476022350374848e-08
7067.0,5.471711589680135e-08
7068.0,5.467554990671992e-08
7069.0,5.463544308557665e-08
7070.0,5.459671293841673e-08
7071.0,5.455927692325856e-08
7072.0,5.452305245109368e-08
7073.0,5.448795688588644e-08
7074.0,5.4453907544574514e-08
7075.0,5.442082169706843e-08
7076.0,5.438861656625183e-08
7077.0,5.435720932798146e-08
7078.0,5.4326517111087037e-08
7079.0,5.4296456997371394e-08
7080.0,5.42669501034689e-08
7081.0,5.423795410002045e-08
7082.0,5.4209445942597036e-08
7083.0,5.418140274754242e-08
7084.0,5.415380161815791e-08
7085.0,5.4126619644702544e-08
7086.0,5.4099833904393057e-08
7087.0,5.407342146140381e-08
7088.0,5.4047359366866804e-08
7089.0,5.402162465887183e-08
7090.0,5.399619436246621e-08
7091.0,5.3971045489655094e-08
7092.0,5.3946155039401165e-08
7093.0,5.3921499997624904e-08
7094.0,5.389705733720435e-08
7095.0,5.38728040179753e-08
7096.0,5.384871698673118e-08
7097.0,5.382477317722311e-08
7098.0,5.3800949510159864e-08
7099.0,5.377722289320797e-08
7100.0,5.375357022099146e-08
7101.0,5.372996837509227e-08
7102.0,5.3706397965246965e-08
7103.0,5.368286521151432e-08
7104.0,5.3659387072760996e-08
7105.0,5.3635980553892994e-08
7106.0,5.361266266937469e-08
7107.0,5.358945044322881e-08
7108.0,5.3566360909036725e-08
7109.0,5.354341110993795e-08
7110.0,5.3520618098630664e-08
7111.0,5.349799893737131e-08
7112.0,5.347557069797475e-08
7113.0,5.3453350461814434e-08
7114.0,5.343135531982199e-08
7115.0,5.340960237248772e-08
7116.0,5.33881087298601e-08
7117.0,5.33668915115462e-08
7118.0,5.33459678467115e-08
7119.0,5.332535487407975e-08
7120.0,5.330506974193333e-08
7121.0,5.3285129608112874e-08
7122.0,5.326555164001757e-08
7123.0,5.3246353014604895e-08
7124.0,5.322755179835941e-08
7125.0,5.320917073109328e-08
7126.0,5.319123410417166e-08
7127.0,5.317376622345149e-08
7128.0,5.3156791408324534e-08
7129.0,5.3140333991717426e-08
7130.0,5.312441832009166e-08
7131.0,5.310906875344348e-08
7132.0,5.309430966530408e-08
7133.0,5.3080165442739356e-08
7134.0,5.30666604863502e-08
7135.0,5.305381921027217e-08
7136.0,5.304166604217578e-08
7137.0,5.303022542326636e-08
7138.0,5.3019521808284026e-08
7139.0,5.30095796655038e-08
7140.0,5.3000423476735544e-08
7141.0,5.2992077737323814e-08
