wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7370.471640991816 inf 
7389.858227348245 -0.0007935365127672233 -0.002728994512830479
7409.244813704674 -0.00011781502118427235 -3.444158675946023e-05
7428.631400061103 3.4902578034687444e-06 8.176635300493616e-06
7448.017986417532 4.4767975749228026e-07 1.015629036367096e-06
7467.404572773961 8.401544304909407e-07 4.6412940764447686e-08
7486.79115913039 5.796915512606931e-07 2.7138821718038873e-07
7506.177745486818 2.3153395137386112e-07 3.3669705441576697e-07
7525.564331843248 2.785124480200332e-07 3.35348121350962e-07
7544.950918199676 2.9200738194402474e-07 3.0223987697762336e-07
7564.337504556106 2.904137839486659e-07 3.270576465501532e-07
7584.853522892828 1.538032868796621e-07 2.1498365719321884e-07
7605.835539559303 3.1906854251670843e-07 3.4188646618345843e-07
7626.817556225776 3.3473883374457335e-07 2.517241156719153e-07
7647.79957289225 3.0296138061867745e-07 2.8534598374984405e-07
7668.781589558725 3.1266091143682634e-07 2.7238163920925565e-07
7689.763606225198 3.940675205767916e-07 3.332739891234711e-07
7710.745622891671 2.759646277341919e-07 2.6913095178308353e-07
7731.727639558146 2.5796340174908986e-07 2.2282283463106042e-07
7752.70965622462 1.9381251548405345e-07 2.0641639645662524e-07
7774.7711361547845 3.134552594787261e-07 2.507595646373666e-07
7797.407393056897 1.1695087275669921e-07 2.0368072327224908e-07
7820.043649959007 3.7361025122961536e-07 3.023009187111098e-07
7842.679906861117 1.7752091632864717e-07 1.9479281244955257e-07
7865.316163763227 2.4384067575257544e-07 2.780135769367925e-07
7887.952420665339 3.160443037623602e-07 2.6954818896667865e-07
7910.588677567449 3.077817795540409e-07 2.791188832743441e-07
7933.224934469559 3.058053006644783e-07 3.1676713480963176e-07
7956.299917727376 1.9335315536626142e-07 2.416693696155812e-07
7980.630560952629 1.0355823294110723e-07 2.6022935374086444e-07
8004.961204177883 2.4939147793148647e-07 2.808555454758181e-07
8029.291847403136 3.278339655225145e-07 2.6958383281068823e-07
8053.622490628389 4.849856175367646e-07 3.3807520731225785e-07
8077.9531338536435 3.279199373608803e-07 3.3885214146977493e-07
8102.2837770788965 3.5689881231662436e-07 3.67491546348391e-07
8126.61442030415 3.72981732557617e-07 3.47787942120049e-07
8151.730951615047 3.530343210328366e-07 3.533646044789174e-07
8177.808607324552 2.3729824685916728e-07 2.5388067948117546e-07
8203.886263034057 2.601225630434891e-07 2.9263639980027204e-07
8229.963918743562 3.3246070569917145e-07 3.5926066675894664e-07
8256.041574453067 2.73194948792619e-07 3.2268759796767416e-07
8282.119230162572 2.1308850073988441e-07 3.7302665235267856e-07
8308.196885872077 4.831142825890841e-07 3.085948034679029e-07
8334.568995356829 3.581463798818951e-07 3.6588088766139756e-07
8362.443022449477 2.5924646443674774e-07 2.8376632808976344e-07
8390.317049542127 3.6890131275170767e-07 3.1621111525240107e-07
8418.191076634777 2.9203030924086145e-07 2.277605856678791e-07
8446.065103727427 3.4859207143437133e-07 2.42172016383843e-07
8473.93913082008 2.6629343103719606e-07 2.657202342124573e-07
8501.813157912728 2.4567622279786064e-07 2.8661241562370405e-07
8530.327622622188 2.016680334933077e-07 1.7960328399118858e-07
8560.04445291021 2.9750391717557625e-07 3.1706074848238687e-07
8589.761283198231 2.2688255273134108e-07 2.518224762988533e-07
8619.478113486253 2.561010418646178e-07 2.415595794796089e-07
8649.194943774275 1.9897097292665314e-07 1.796446917965098e-07
8678.911774062297 1.8046343198680097e-07 1.8801502470392616e-07
8708.628604350319 1.3263777415175913e-07 1.784993220551338e-07
8740.14444671043 2.6728164438603143e-07 2.4470618191319944e-07
8771.74732803681 1.4264399605940875e-07 1.849008494266152e-07
8803.35020936319 1.800330405767978e-07 1.963370751775964e-07
8834.95309068957 2.2060128405191992e-07 2.3115513684747822e-07
8866.55597201595 1.4435940049427067e-07 1.834778026554715e-07
8898.158853342331 1.5784238016621086e-07 1.8502839722602615e-07
8931.573934184744 1.6757864161132423e-07 2.1640515034449473e-07
8965.101122910624 2.814209903536816e-07 2.508976102175879e-07
8998.628311636505 2.0224335654022032e-07 2.5110803306871437e-07
9032.155500362383 2.155989973481335e-07 2.3714806886989731e-07
9065.682689088264 1.751689221065209e-07 2.0943430759292232e-07
9099.748033480502 1.9209493283691495e-07 2.1423004539998525e-07
9135.234297772204 2.213228856588443e-07 2.1470122759409728e-07
9170.720562063903 1.7219105985104655e-07 2.4717778126330836e-07
9206.206826355605 3.519337252534893e-07 2.6484413253138245e-07
9241.693090647304 2.2794447935362e-07 2.9891967639424955e-07
9277.179354939006 2.976912735825586e-07 2.9414101268898065e-07
9314.495965338978 2.54820654544286e-07 3.3505916260997015e-07
9351.970624379443 1.737355841087734e-07 2.6340702486556847e-07
9389.445283419906 2.572453807441466e-07 2.6181887575749944e-07
9426.919942460368 2.4641480144642876e-07 2.770890282721846e-07
9464.394601500831 2.0248814978937355e-07 2.3676348736845727e-07
9503.581365157219 2.2368477496614606e-07 2.7124255389585485e-07
9543.069266288447 2.0174879032271799e-07 2.43016362950656e-07
9582.557167419676 1.5988645775380688e-07 2.178110553458177e-07
9622.045068550904 2.0022541470855683e-07 2.0617831753992222e-07
9661.61187922009 1.903631547811794e-07 2.3103535656815688e-07
9703.13241809331 1.8805297595652404e-07 2.1666092560904867e-07
9744.652956966529 1.3136533532284016e-07 2.133355248246244e-07
9786.173495839746 2.0087171528409228e-07 1.9004128786470786e-07
9827.694034712964 1.9821638643981958e-07 2.454423450859822e-07
9870.162330087667 1.1973401944603997e-07 2.235993366754703e-07
9913.730864482914 1.9330203072154472e-07 2.1199462041140794e-07
9957.299398878162 2.3929522850454685e-07 2.430577664946459e-07
10000.867933273408 1.9378633989516022e-07 2.1378112115651172e-07
10044.645894664296 2.4380687751443557e-07 2.8287802926813506e-07
10090.271116483931 2.5589021375841507e-07 2.871166463324351e-07
10135.896338303566 2.448753174806969e-07 2.713625405774933e-07
10181.5215601232 2.3929642779254664e-07 2.7296363188842657e-07
10227.146781942834 2.2524542555147537e-07 2.4715180562813784e-07
10274.703457493875 2.1338257786300693e-07 2.3012318215045134e-07
10322.388975703154 1.9477804370069056e-07 2.0811472971482268e-07
10370.074493912434 1.786153781705751e-07 2.1059816462053803e-07
10417.760012121715 2.0329361223980672e-07 2.1333730874273874e-07
10467.407381769926 2.2383263982522214e-07 2.3608130084406956e-07
10517.151450112384 2.0567879526267653e-07 2.4142132677103624e-07
10566.895518454838 1.7815961635445426e-07 2.1876929186763264e-07
10616.913468480296 1.8297793767592845e-07 2.4384454647897804e-07
10668.70947010909 1.9549953717345979e-07 2.562978152743223e-07
10720.505471737888 1.948300851424555e-07 2.276011680257769e-07
10772.301473366686 2.392535057239735e-07 2.615819150958915e-07
10825.046495350813 2.130363279039542e-07 2.2102044100089922e-07
10878.882356337468 1.7132722531332768e-07 2.1109356204818733e-07
10932.718217324125 1.4884357955146463e-07 1.601772822463032e-07
10986.554078310783 1.1315294890469702e-07 1.268373255799559e-07
11042.282833310042 1.2777055211916314e-07 1.3088649584668698e-07
11098.141034080109 1.1975946380238157e-07 1.2762041440265982e-07
11153.999234850178 1.363987305662822e-07 1.459769963365605e-07
11210.925993448693 1.1393207129110214e-07 1.6501145843197184e-07
11268.783284779485 1.5665469211286589e-07 1.9168323560532997e-07
11326.640576110278 1.9539353553059e-07 2.0958070706054763e-07
11384.99190956719 1.8115307726860542e-07 2.2720607585744826e-07
11444.820797019747 2.1774616920075523e-07 2.4823538358270174e-07
11504.649684472304 1.6760877207135845e-07 2.0771032641519868e-07
11564.62368058602 1.884951988499981e-07 2.2126821604660236e-07
11626.391063144321 1.6453889770097544e-07 1.7370075537552048e-07
11688.158445702622 1.5102692607503056e-07 1.9241380308772126e-07
11749.925828260926 1.6085164199581244e-07 1.7619466776128161e-07
11813.592156909668 1.8719383254932837e-07 1.8059462921143535e-07
11877.260768599479 1.3876287135676196e-07 1.7522810095576125e-07
11940.956534638259 1.3271985414228175e-07 1.735969383967193e-07
12006.485396346403 1.539982266874636e-07 1.610839096205969e-07
12072.014258054543 1.083891286767446e-07 1.3477338900226268e-07
12137.751937891331 1.3787886197441854e-07 1.4275768074470254e-07
12205.094851968304 7.179087136417453e-08 9.35966120452643e-08
12272.437766045277 1.3464757008625e-07 1.2767719151458286e-07
12340.298963378398 1.3973803116763114e-07 1.596829728240262e-07
12409.406362021642 8.657913682411823e-08 1.0669213011734916e-07
12478.513760664884 9.03064140764152e-08 1.0103454031152566e-07
12548.553071063476 1.003814289199781e-07 1.1660672828232783e-07
12619.372325437942 7.231632799890084e-08 1.0683625720917654e-07
12690.191579812408 1.1964110260347151e-07 1.1437912618851474e-07
12762.437447504952 1.013384045413933e-07 1.20822840581323e-07
12834.912665001595 1.0097132904491918e-07 1.1471956113684522e-07
12907.771020625567 9.06899627794692e-08 9.020867040921116e-08
12981.843213436026 7.415635515275005e-08 9.323036521848285e-08
13055.915406246488 5.9001312640202954e-08 8.920626865846609e-08
13131.024209147263 7.48911244930504e-08 1.0580499726131492e-07
13206.632462579311 7.75228319516425e-08 9.969428194341875e-08
13282.479171700505 9.132593172166766e-08 1.0779902437540717e-07
13359.560314313256 6.881265954704574e-08 7.514721339505415e-08
13436.641456926007 5.596351150676575e-08 7.005752522319557e-08
13514.703199668096 7.436683346952873e-08 9.749665496623105e-08
13593.191306557792 7.709693724899902e-08 9.449074486744829e-08
13672.049738648948 6.304974188782215e-08 9.846480646514845e-08
13751.878570188159 8.862288384118175e-08 1.0049249889379707e-07
13831.707401727372 6.988296779675546e-08 8.654291369799191e-08
13912.67739015102 8.704010120275102e-08 1.1592860599512814e-07
13993.779663364861 8.250343502138769e-08 1.059546481342657e-07
14075.548699771065 8.084350693044783e-08 1.04229594038233e-07
14157.855823192316 8.761537503286967e-08 1.1144027850533729e-07
14240.441282381445 8.063373183856244e-08 9.319265312650666e-08
14323.88459967546 5.171469159134222e-08 8.212587930835082e-08
14407.327916969478 6.66028680961426e-08 8.692148136165788e-08
14491.804583741903 7.406296007692313e-08 8.401914533490164e-08
14576.315435897666 7.513356037904089e-08 9.008582881420382e-08
14661.54516526229 8.404492453808422e-08 7.452233697756358e-08
14747.054811318862 6.145909223726201e-08 7.626755523658364e-08
14833.027189888484 5.315181138833591e-08 5.411172199132349e-08
14919.466440029064 3.3405873849561556e-08 7.229405393698216e-08
15006.164140705408 7.61657256059569e-08 8.52967323123868e-08
15093.465760092422 7.32596956997758e-08 1.0119397074719281e-07
15180.865503902687 7.274006198032762e-08 9.2664995575466e-08
15268.962713439341 6.582954460989622e-08 8.546718547123539e-08
15357.059922975997 8.0823931167506e-08 1.0815739427348443e-07
15445.862294500015 9.338363149831025e-08 1.0770214044435458e-07
15534.689011965425 5.420639574205715e-08 9.268361754815316e-08
15624.065547825981 1.028263473785397e-07 1.372784762119301e-07
