wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7370.872003502593 -inf 
7390.258589859022 -0.00014879690191867728 -0.0004959721502618127
7409.64517621545 0.00010725322799075586 0.0001318546279849677
7429.03176257188 4.433930651021618e-06 1.0836676661134894e-06
7448.418348928309 -2.3765633264050478e-06 -1.2649377416138845e-06
7467.804935284738 -1.8861155445260712e-07 -8.751242830286075e-08
7487.191521641166 1.6460724269501657e-07 -5.3079058436534226e-08
7506.578107997595 5.07940041008583e-08 1.7019941384930566e-07
7525.964694354025 1.2588004223806333e-07 1.6145579105829442e-07
7545.3512807104535 1.823207259470863e-07 1.1532400114243544e-07
7564.737867066882 -6.001181526159698e-08 4.719127462625049e-08
7585.286833467434 -1.5904415080542194e-07 -6.219269486848258e-08
7606.268850133908 -4.8165105487147036e-08 -1.4778132495489172e-08
7627.250866800382 3.850430664459371e-08 6.691067286802243e-08
7648.232883466855 5.6578575249575585e-08 1.6477778689778586e-08
7669.21490013333 -1.7319287752322987e-08 -5.061888973826905e-08
7690.196916799803 -8.641245236433463e-09 -6.781925738330704e-08
7711.178933466277 -1.1775627990035599e-07 1.1189544630763532e-08
7732.160950132752 -9.57015204068115e-08 -1.239019343247429e-07
7753.142966799225 8.4699350547878e-08 6.118031403034902e-08
7775.238609307681 1.4068902224979073e-08 -6.820674338875101e-09
7797.874866209791 -1.8332743177282262e-08 -1.9334008732312594e-08
7820.511123111902 6.410428568066452e-08 7.198783303736674e-08
7843.147380014012 2.7936696342961317e-08 6.449616829080806e-09
7865.783636916123 2.250798114991423e-08 -1.0940652186664992e-09
7888.4198938182335 -6.786475851963604e-08 -4.3012222939386756e-08
7911.056150720344 -9.122641814442714e-08 1.9610987887248287e-08
7933.692407622455 -6.219443109738328e-08 3.441023642704713e-09
7956.8023825363625 -1.3719710610507874e-08 -3.179245693757889e-08
7981.1330257616155 -4.559739322151652e-08 -2.450644879425398e-08
8005.4636689868685 -2.4020715971652358e-08 2.5245453294896235e-08
