wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7366.6498486333385 inf 
7386.036434989768 -0.0009129163221152963 -0.0009129814121784582
7405.423021346196 -2.185038586060721e-05 7.593168706068137e-05
7424.809607702625 2.1821606847674457e-05 1.3356868950386528e-05
7444.1961940590545 2.0277135078043273e-06 4.710033145417363e-06
7463.582780415483 8.845132688479551e-07 6.7144579031094e-07
7482.969366771913 3.6301879680706094e-07 3.704951061201561e-07
7502.355953128341 1.1219927216980712e-07 2.0433632980498214e-07
7521.7425394847705 3.6181171525708054e-07 3.615532652712033e-07
7541.129125841199 2.9024916197982635e-07 2.7433589108713944e-07
7560.515712197629 3.9922570862705654e-07 3.8343230758691304e-07
7580.717213927079 4.1089353822235135e-07 3.4852541782204776e-07
7601.699230593553 5.428024636802243e-07 4.13143687740705e-07
7622.681247260026 3.004962727359739e-07 3.79741323090407e-07
7643.663263926501 3.392201878150108e-07 3.702728194265443e-07
7664.645280592974 3.634584569048212e-07 3.481659555921626e-07
7685.627297259449 3.2960666336187727e-07 4.451642260809199e-07
7706.609313925922 4.2653116882894715e-07 4.626845051211559e-07
7727.591330592396 3.919485883109982e-07 3.9624675721906295e-07
7748.573347258871 3.283831497595501e-07 4.3031775793168274e-07
7770.308717033518 4.1686119798802274e-07 4.5109427298323975e-07
7792.944973935629 3.843974232762939e-07 3.6530657985852164e-07
7815.58123083774 4.049974032176408e-07 5.214983876638942e-07
7838.21748773985 4.524218898160453e-07 4.3627076134372886e-07
7860.8537446419605 4.248023192420778e-07 4.822666695721554e-07
7883.490001544072 3.9368041323765e-07 4.044557992708556e-07
7906.126258446182 4.2654719191549893e-07 3.5154467542002945e-07
7928.762515348292 3.385132106802999e-07 4.182011939327491e-07
7951.5034742150665 4.519076423691929e-07 4.2853080192474757e-07
7975.83411744032 3.048495603609552e-07 3.534561474525807e-07
8000.164760665573 3.504185210738662e-07 3.916886011152222e-07
8024.495403890826 3.954468368728778e-07 4.273828050959245e-07
8048.826047116081 2.7065202641305037e-07 3.491071675013308e-07
8073.156690341334 3.067371066892911e-07 3.953452223106573e-07
8097.487333566588 3.1242195162476194e-07 3.357507198313379e-07
8121.817976791841 4.0126599385565565e-07 3.6293436095514884e-07
8146.5901092054955 2.830915756180198e-07 2.7107983882814905e-07
8172.667764915 3.1140903575076067e-07 3.1455035580524504e-07
8198.745420624504 2.901229093628393e-07 3.219996235567702e-07
8224.823076334009 2.2960462140017637e-07 3.0742482461709057e-07
8250.900732043514 3.6326868146587143e-07 3.368709578127535e-07
8276.978387753019 2.3291634291436636e-07 2.815190632421503e-07
8303.056043462524 1.566931478372626e-07 2.429951681517938e-07
8329.133699172029 1.9569747713217104e-07 2.208219934740411e-07
8356.948050731193 2.3614340807636335e-07 2.2960311567102902e-07
8384.822077823841 3.021902594242698e-07 2.7570843937279093e-07
8412.696104916493 3.021178941987751e-07 2.793002065277211e-07
8440.570132009141 3.015041566064124e-07 3.1089829219281827e-07
8468.444159101791 2.5966277974386307e-07 2.815395860146453e-07
8496.318186194443 2.895016292861678e-07 2.75710347251199e-07
8524.469368217575 2.15793955455111e-07 2.833622985452898e-07
8554.186198505597 2.6545750856588986e-07 2.6787518472433254e-07
8583.903028793618 2.948054483904464e-07 2.982499446256228e-07
8613.61985908164 2.1589512708647036e-07 2.583283679901904e-07
8643.336689369662 1.5331820586875757e-07 2.43902826438994e-07
8673.053519657686 3.3868654714928616e-07 3.1010373175934205e-07
8702.770349945707 2.735640918978983e-07 2.998312665091891e-07
8733.914383916575 2.8567751138240925e-07 2.78594283951179e-07
8765.517265242956 2.5822368546386904e-07 3.510808029201057e-07
8797.120146569336 3.516319091947065e-07 3.5452249777498483e-07
8828.723027895716 3.523882169149058e-07 4.0040541613497583e-07
8860.325909222096 3.322712971214453e-07 3.588142135519589e-07
8891.928790548476 2.681943132347301e-07 3.116843536104128e-07
8924.96452129905 2.90797307830555e-07 3.973761477395122e-07
8958.491710024931 3.007556355684291e-07 3.345418807095173e-07
8992.01889875081 2.709980700785651e-07 3.1594288041430465e-07
9025.54608747669 2.817024370600273e-07 3.0610446663571794e-07
9059.07327620257 2.573963045629367e-07 2.8291553149790273e-07
