# 500 sources from f125w_trimmed_matched_to_grism_PA0.00.fits (nsigma=5.00, npixels=8), brightest first
# RA_deg  Dec_deg  flux  x_pix  y_pix
150.1878208  2.2769207     227174.78   4027.22   3948.94
150.1058569  2.3557713     153656.08   1346.91   1368.41
150.1467258  2.3614446     148790.21   2683.31   1182.74
150.0671673  2.2731097     131856.26     81.66   4073.66
150.0765630  2.3305134      43016.45    388.99   2195.01
150.1326217  2.3479858      31573.47   2222.12   1623.21
150.1338075  2.3433473      21905.40   2260.89   1775.01
150.1367736  2.3875494      17644.47   2357.87    328.40
150.0997355  2.3543024      13580.15   1146.75   1416.48
150.1138334  2.3557237      10972.70   1607.74   1369.97
150.0908982  2.3912022      10942.29    857.80    208.84
150.1479231  2.2804464       7737.66   2722.50   3833.59
150.1714721  2.3301451       7634.16   3492.53   2207.07
150.1463910  2.2857257       7358.40   2672.40   3660.81
150.0722647  2.3665641       6231.06    248.48   1015.16
150.1137496  2.3606650       5423.59   1605.01   1208.25
150.1369945  2.3393600       4770.20   2365.11   1905.51
150.0953837  2.2995821       4513.42   1004.40   3207.32
150.0890564  2.2886268       4160.13    797.49   3565.85
150.1379684  2.2916568       4128.39   2396.97   3466.71
150.0902536  2.2938318       3924.60    836.64   3395.51
150.0763998  2.3553619       3884.50    383.68   1381.78
150.1327770  2.3920642       3771.15   2227.19    180.65
150.1756579  2.3586870       3456.88   3629.38   1272.96
150.0773278  2.2985506       3193.32    413.96   3241.06
150.1777055  2.2777940       2889.45   3696.43   3920.37
150.1225696  2.2863169       2849.47   1893.41   3641.47
150.1886760  2.2966706       2829.54   4055.15   3302.57
150.0738575  2.3256316       2664.04    300.51   2354.77
150.1410621  2.3709101       2649.65   2498.11    872.96
150.1301566  2.3388029       2497.01   2141.51   1923.74
150.1363110  2.3279921       2275.75   2342.76   2277.55
150.0894681  2.3539439       2253.88    811.01   1428.20
150.0806022  2.3902584       2204.11    521.13    239.72
150.0968858  2.3507781       2119.09   1053.56   1531.82
150.1020091  2.3524711       2076.12   1221.09   1476.41
150.0855603  2.3641520       2016.02    683.23   1094.12
150.1263588  2.3121188       1884.64   2017.32   2797.04
150.1709371  2.3467067       1866.52   3475.02   1665.05
150.1221338  2.2984335       1816.09   1879.16   3244.92
150.0988348  2.3576123       1806.72   1117.30   1308.15
150.0932051  2.3607960       1773.84    933.21   1203.95
150.1147003  2.3327709       1752.22   1636.08   2121.15
150.1201925  2.3093562       1693.93   1815.68   2887.45
150.1573788  2.3541293       1674.20   3031.66   1422.14
150.0902260  2.3719058       1660.15    835.81    840.36
150.0953070  2.3847145       1633.27   1001.96    421.17
150.0809324  2.3559826       1617.53    531.89   1361.47
150.0759831  2.3048043       1484.47    369.99   3036.39
150.1012841  2.3661783       1450.37   1197.39   1027.81
150.1769220  2.3732639       1428.73   3670.70    795.90
150.0857479  2.3334386       1370.25    689.34   2099.28
150.1865145  2.3450723       1320.81   3984.40   1718.52
150.1762692  2.3276630       1312.77   3649.40   2288.29
150.1074813  2.3027032       1306.01   1400.01   3105.18
150.1616235  2.2960228       1179.78   3170.51   3323.81
150.1471958  2.3832671       1102.71   2698.67    468.54
150.1636982  2.3235157       1099.08   3238.33   2424.03
150.1405329  2.3331274       1037.37   2480.82   2109.48
150.0745742  2.3484579       1030.74    323.97   1607.73
150.1891750  2.3256488       1013.03   4071.43   2354.20
150.1134356  2.3002795       1002.16   1594.72   3184.51
150.1299539  2.3646506        994.10   2134.88   1077.82
150.1847052  2.2888054        966.04   3925.32   3559.99
150.1145479  2.2848352        943.64   1631.09   3689.96
150.1546729  2.3318522        937.82   2943.20   2151.21
150.1550020  2.3483845        924.96   2953.95   1610.15
150.1036019  2.3145955        908.43   1273.16   2715.98
150.0841505  2.3861818        880.03    637.15    373.14
150.0830090  2.3549879        872.98    599.80   1394.03
150.0648012  2.3004975        860.94      4.33   3177.33
150.1289249  2.2799448        847.08   2101.23   3850.01
150.0994000  2.2902507        836.30   1135.74   3512.71
150.1217858  2.3480715        784.83   1867.78   1620.40
150.1479295  2.3107858        764.41   2722.70   2840.66
150.0844174  2.3879523        760.04    645.89    315.19
150.0875225  2.3100680        724.81    747.35   2864.14
150.0899572  2.3834948        719.56    827.02    461.08
150.1261653  2.3612276        696.96   2010.99   1189.84
150.0771392  2.3098107        689.06    407.80   2872.55
150.0913410  2.3377369        685.93    872.24   1958.61
150.0980783  2.2934317        672.45   1092.52   3408.61
150.1618060  2.3409365        671.26   3176.44   1853.90
150.0916621  2.2730228        666.72    882.68   4076.53
150.1875012  2.3139636        662.64   4016.71   2736.62
150.0716014  2.2974411        660.27    226.70   3277.37
150.1021629  2.3283181        647.90   1226.11   2266.87
150.1608410  2.3606108        645.35   3144.87   1210.02
150.1688700  2.3207078        632.84   3407.45   2515.93
150.1472724  2.3400614        628.46   2701.19   1882.55
150.0948459  2.2970210        619.44    986.82   3291.14
150.1660419  2.3317654        589.73   3314.96   2154.04
150.1222979  2.2791345        588.23   1884.52   3876.53
150.1455113  2.3483177        583.02   2643.60   1612.34
150.1217490  2.3160886        578.66   1866.57   2667.12
150.0889215  2.2999771        576.38    793.08   3194.39
150.0744083  2.3760869        567.04    318.58    703.50
150.1356527  2.3665454        557.24   2321.22   1015.81
150.1879432  2.3529159        556.65   4031.11   1461.82
150.1275838  2.2930660        556.22   2057.38   3420.59
150.0783824  2.3895645        554.30    448.55    262.42
150.0876369  2.3670824        548.37    751.14    998.21
150.0943733  2.3134191        546.96    971.37   2754.47
150.1812928  2.3944087        541.35   3813.59    103.88
150.1000893  2.2971286        539.95   1158.28   3287.62
150.1019327  2.3900361        539.76   1218.62    247.01
150.1219030  2.3490335        532.82   1871.62   1588.92
150.0927178  2.3851478        508.27    917.30    406.99
150.1344223  2.3512161        501.48   2280.99   1517.49
150.0647277  2.3887364        492.44      2.05    289.51
150.1529291  2.3942467        491.23   2886.13    109.21
150.1236480  2.3582477        485.43   1928.68   1287.37
150.1194553  2.3221305        484.92   1791.57   2469.38
150.1818941  2.2846424        482.26   3833.39   3696.23
150.0739042  2.2822759        467.63    301.98   3773.69
150.1786131  2.3864931        454.86   3725.98    362.94
150.1667977  2.3011533        454.28   3339.70   3155.89
150.1010775  2.3575573        454.13   1190.63   1309.96
150.1190384  2.3244939        436.16   1777.94   2392.04
150.1610731  2.2786974        433.26   3152.52   3890.82
150.0776170  2.3713236        424.35    423.50    859.40
150.1707848  2.3089553        409.40   3470.08   2900.55
150.1471807  2.3371773        409.32   2698.20   1976.94
150.1586731  2.2903493        396.05   3074.03   3509.48
150.0769757  2.3491452        392.79    402.50   1585.24
150.0886872  2.3361132        392.72    785.45   2011.75
150.1360755  2.3650629        385.43   2335.05   1064.32
150.1858342  2.3083846        376.01   3962.21   2919.21
150.0787345  2.3027974        372.21    459.96   3102.08
150.1887257  2.3061923        368.14   4056.76   2990.95
150.1687946  2.3157603        363.98   3404.99   2677.84
150.0742504  2.3383258        360.65    313.37   1939.32
150.0945487  2.3868048        355.19    977.16    352.76
150.1705123  2.2795582        349.70   3461.20   3862.64
150.0979606  2.2813822        342.17   1088.66   3802.96
150.1532719  2.3501140        335.66   2897.37   1553.55
150.0647733  2.3712227        334.96      3.52    862.68
150.1821393  2.3948665        334.82   3841.27     88.90
150.0873954  2.3717261        332.84    743.25    846.24
150.1564909  2.3931199        331.80   3002.60    146.08
150.0829540  2.3048138        327.03    597.95   3036.09
150.1489133  2.3225187        325.26   2754.86   2456.67
150.0876603  2.3040841        322.93    751.85   3059.98
150.0810065  2.3401034        322.39    534.30   1881.15
150.1550638  2.3264732        318.47   2955.98   2327.25
150.1493158  2.3368545        318.05   2768.01   1987.50
150.0876521  2.3250291        313.71    751.60   2374.50
150.1547312  2.3080020        313.04   2945.12   2931.76
150.1377550  2.3095611        309.72   2389.98   2880.75
150.1858208  2.3884523        309.30   3961.66    298.81
150.0953577  2.3207244        307.06   1003.57   2515.39
150.0716725  2.3776316        305.68    229.12    652.95
150.1279847  2.3356333        299.84   2070.49   2027.47
150.0690508  2.3599017        294.73    143.38   1233.20
150.1131491  2.3781028        294.29   1585.37    637.56
150.0937070  2.3339415        292.80    949.60   2082.83
150.1681651  2.3898790        289.27   3384.34    252.14
150.1364967  2.2743828        283.18   2348.84   4032.04
150.1070835  2.3674308        283.11   1387.03    986.82
150.1503435  2.3767159        281.83   2801.60    682.95
150.0650591  2.3855346        273.83     12.89    394.29
150.1528724  2.3228879        268.53   2884.33   2444.59
150.0835761  2.3719112        259.59    618.36    840.18
150.1754057  2.3712169        258.60   3621.12    862.89
150.0984067  2.3340170        255.95   1103.28   2080.36
150.1451235  2.3559802        249.49   2630.92   1361.57
150.1333781  2.3522652        245.96   2246.85   1483.16
150.0719281  2.3537992        241.00    237.45   1432.92
150.1217544  2.3945709        234.58   1866.76     98.61
150.1844349  2.2823119        230.89   3916.49   3772.50
150.1409766  2.3294290        229.67   2495.33   2230.52
150.0748081  2.2986573        227.07    331.56   3237.57
150.1190029  2.3912966        223.18   1776.79    205.76
150.1873623  2.3777698        222.88   4012.08    648.42
150.1593521  2.3910656        222.61   3096.16    213.31
150.1360714  2.3705280        222.02   2334.92    885.47
150.1625175  2.3566996        218.39   3199.69   1338.02
150.1276728  2.2837982        216.79   2060.29   3723.90
150.1601909  2.3033600        215.51   3123.66   3083.68
150.1181073  2.3020097        212.86   1747.49   3127.88
150.1561171  2.3942299        212.08   2990.38    109.76
150.1439234  2.3073517        210.55   2591.69   2953.05
150.0937901  2.2767629        210.16    952.27   3954.13
150.1781874  2.2921236        206.75   3712.17   3451.40
150.1684753  2.3822148        205.73   3394.49    502.97
150.1597665  2.3582591        202.76   3109.74   1286.98
150.1725941  2.3538711        201.55   3529.20   1430.58
150.1057732  2.3802418        201.33   1344.19    567.55
150.0962553  2.3568153        200.50   1032.95   1334.23
150.0790117  2.2781213        199.67    469.00   3909.66
150.0747160  2.2751687        195.93    328.52   4006.28
150.1511955  2.2780838        194.85   2829.51   3910.91
150.0784771  2.3107857        192.09    451.55   2840.64
150.0717330  2.3610181        191.77    231.08   1196.66
150.1034684  2.3461111        188.60   1268.81   1684.56
150.0774363  2.3945488        185.07    417.62     99.30
150.1763756  2.3325494        184.55   3652.88   2128.37
150.1543840  2.3912224        183.81   2933.71    208.19
150.1551614  2.3185774        181.71   2959.18   2585.66
150.0983178  2.3082575        181.37   1100.36   2923.40
150.1073634  2.3292068        181.22   1396.16   2237.79
150.0743841  2.2809090        177.91    317.68   3818.42
150.1052645  2.3001272        177.19   1327.52   3189.49
150.1383341  2.2988874        176.79   2408.92   3230.07
150.1012638  2.3108546        175.62   1196.70   2838.41
150.0848058  2.3278557        172.78    658.52   2281.99
150.0684170  2.3233951        170.69    122.60   2427.96
150.1060685  2.3972747        170.28   1353.86     10.11
150.0896136  2.3007846        170.12    815.72   3167.96
150.1551627  2.3395875        169.89   2959.21   1898.05
150.1856928  2.3752770        164.80   3957.49    730.00
150.1005780  2.3049698        162.63   1174.26   3031.00
150.0854002  2.2882570        161.53    677.92   3577.95
150.1472962  2.3764276        161.39   2701.95    692.38
150.1312376  2.3207366        161.21   2176.86   2515.00
150.0743694  2.2998443        159.43    317.22   3198.72
150.1139104  2.3912396        159.15   1610.27    207.63
150.1866062  2.3817576        159.02   3987.35    517.91
150.0658866  2.3196413        158.28     39.85   2550.81
150.1004955  2.2871712        157.88   1171.56   3613.50
150.0684383  2.3265202        157.39    123.30   2325.68
150.0716801  2.2829402        155.12    229.25   3751.94
150.0878932  2.3621286        150.03    759.51   1160.34
150.1755508  2.3219193        148.99   3625.92   2476.27
150.1461383  2.3513720        147.16   2664.10   1512.39
150.1449999  2.3369170        146.74   2626.88   1985.46
150.1119773  2.3228310        146.35   1547.04   2446.46
150.0784709  2.3949538        145.16    451.45     86.05
150.1247623  2.3822870        143.18   1965.12    500.63
150.1479979  2.2762241        142.96   2724.95   3971.77
150.0931869  2.3208362        142.49    932.58   2511.73
150.1480572  2.3313274        142.18   2726.86   2168.39
150.1539119  2.2761396        141.90   2918.34   3974.53
150.1679106  2.3424092        141.41   3376.06   1805.70
150.0697607  2.2879481        141.39    166.49   3588.04
150.1182279  2.2921204        141.06   1751.43   3451.53
150.0945792  2.3363446        139.93    978.12   2004.18
150.1216352  2.3122477        139.67   1862.85   2792.82
150.1843451  2.2739386        138.91   3913.56   4046.54
150.1507613  2.3421784        137.16   2815.28   1813.27
150.0816633  2.3936911        135.92    555.83    127.37
150.1172669  2.3271099        134.29   1720.01   2306.42
150.1541270  2.3347886        132.81   2925.34   2055.11
150.0660039  2.2955565        132.26     43.65   3339.04
150.1016517  2.3542574        132.25   1209.41   1417.95
150.1565157  2.3132338        132.13   3003.47   2760.54
150.1173804  2.3839013        132.13   1723.74    447.79
150.1055174  2.2976126        130.74   1335.78   3271.78
150.1746805  2.3607715        130.20   3597.41   1204.74
150.1149895  2.3809540        129.67   1645.55    544.25
150.0857423  2.2976542        129.38    689.12   3270.41
150.1219444  2.3522201        128.51   1872.97   1484.63
150.1520028  2.2964746        126.53   2855.90   3309.02
150.0754183  2.3362500        124.93    351.56   2007.26
150.1122381  2.3873871        124.54   1555.59    333.71
150.1406068  2.3285412        124.02   2483.23   2259.58
150.0986281  2.3090590        122.88   1110.51   2897.17
150.0654828  2.3145410        122.59     26.64   2717.72
150.1259196  2.3201280        122.44   2002.96   2534.92
150.0860606  2.2924421        122.06    699.52   3440.99
150.0699006  2.2958035        121.15    171.08   3330.96
150.0793166  2.3580907        120.82    479.06   1292.48
150.1517387  2.3968599        120.80   2847.21     23.69
