;wavelength (um)	Mirror reflectivity (Protected Ag)	Mirror reflectivity (Au)	Dichroic	Lens AR transmission, per surface	Bandpass filter trans-mission	grism ;efficiency	combined reflectivity of mirrors	combined transmission of lenses & prisms	 Optical  Transmission	Contamination loss	detector QE	Aeff  (m^2)
0.950	0.9754	0.9900	1.0000	0.9648	0.0000	0.3341	0.8829	0.0000	0.0000	0.97	0.835	0.000
0.976	0.9751	0.9900	1.0000	0.9648	0.9500	0.3968	0.8817	0.7130	0.2495	0.97	0.835	0.686
1.001	0.9748	0.9900	1.0000	0.9723	0.9500	0.4581	0.8803	0.7589	0.3060	0.97	0.837	0.844
1.027	0.9748	0.9900	1.0000	0.9799	0.9500	0.5163	0.8801	0.8073	0.3669	0.97	0.837	1.011
1.052	0.9747	0.9900	1.0000	0.9799	0.9500	0.5702	0.8797	0.8073	0.4050	0.97	0.822	1.097
1.078	0.9747	0.9900	1.0000	0.9849	0.9500	0.6188	0.8797	0.8411	0.4579	0.97	0.822	1.240
1.104	0.9748	0.9900	1.0000	0.9899	0.9500	0.6614	0.8804	0.8761	0.5102	0.97	0.817	1.373
1.129	0.9751	0.9900	1.0000	0.9899	0.9500	0.6978	0.8814	0.8761	0.5388	0.97	0.817	1.450
1.155	0.9753	0.9900	1.0000	0.9906	0.9500	0.7272	0.8824	0.8806	0.5651	0.97	0.805	1.498
1.180	0.9756	0.9900	1.0000	0.9912	0.9500	0.7492	0.8837	0.8851	0.5859	0.97	0.805	1.554
1.206	0.9758	0.9900	1.0000	0.9912	0.9500	0.7594	0.8849	0.8851	0.5948	0.97	0.799	1.565
1.232	0.9762	0.9900	1.0000	0.9918	0.9500	0.7687	0.8865	0.8896	0.6062	0.97	0.799	1.595
1.257	0.9765	0.9900	1.0000	0.9924	0.9500	0.7756	0.8880	0.8941	0.6158	0.97	0.791	1.604
1.283	0.9769	0.9900	1.0000	0.9924	0.9500	0.7779	0.8897	0.8941	0.6188	0.97	0.791	1.612
1.309	0.9772	0.9900	1.0000	0.9912	0.9500	0.7760	0.8911	0.8851	0.6121	0.97	0.789	1.591
1.334	0.9776	0.9900	1.0000	0.9899	0.9500	0.7706	0.8927	0.8761	0.6027	0.97	0.789	1.566
1.360	0.9778	0.9900	1.0000	0.9899	0.9500	0.7620	0.8940	0.8761	0.5969	0.97	0.789	1.551
1.385	0.9782	0.9900	1.0000	0.9887	0.9500	0.7507	0.8958	0.8673	0.5832	0.97	0.789	1.515
1.411	0.9782	0.9900	1.0000	0.9874	0.9500	0.7371	0.8955	0.8585	0.5667	0.97	0.790	1.475
1.437	0.9789	0.9900	1.0000	0.9874	0.9500	0.7217	0.8989	0.8585	0.5569	0.97	0.790	1.449
1.462	0.9793	0.9900	1.0000	0.9862	0.9500	0.7047	0.9007	0.8498	0.5393	0.97	0.798	1.417
1.488	0.9796	0.9900	1.0000	0.9849	0.9500	0.6865	0.9021	0.8411	0.5209	0.97	0.798	1.369
1.513	0.9798	0.9900	1.0000	0.9862	0.9500	0.6674	0.9030	0.8498	0.5121	0.97	0.800	1.350
1.539	0.9801	0.9900	1.0000	0.9862	0.9500	0.6477	0.9045	0.8498	0.4978	0.97	0.800	1.312
1.565	0.9804	0.9900	1.0000	0.9874	0.9500	0.6274	0.9059	0.8585	0.4880	0.97	0.815	1.309
1.590	0.9806	0.9900	1.0000	0.9887	0.9500	0.6070	0.9068	0.8673	0.4773	0.97	0.815	1.280
1.616	0.9809	0.9900	1.0000	0.9887	0.9500	0.5864	0.9081	0.8673	0.4618	0.97	0.817	1.242
1.641	0.9811	0.9900	1.0000	0.9899	0.9500	0.5659	0.9090	0.8761	0.4506	0.97	0.817	1.212
1.667	0.9813	0.9900	1.0000	0.9912	0.9500	0.5455	0.9100	0.8851	0.4394	0.97	0.821	1.188
1.693	0.9815	0.9900	1.0000	0.9912	0.9500	0.5254	0.9109	0.8851	0.4236	0.97	0.821	1.145
1.718	0.9817	0.9900	1.0000	0.9924	0.9500	0.5056	0.9120	0.8941	0.4123	0.97	0.835	1.134
1.744	0.9819	0.9900	1.0000	0.9918	0.9500	0.4862	0.9127	0.8896	0.3948	0.97	0.835	1.086
1.770	0.9821	0.9900	1.0000	0.9918	0.9500	0.4673	0.9137	0.8896	0.3798	0.97	0.851	1.064
1.795	0.9822	0.9900	1.0000	0.9912	0.9500	0.4489	0.9142	0.8851	0.3632	0.97	0.851	1.018
1.821	0.9819	0.9900	1.0000	0.9906	0.9500	0.4310	0.9125	0.8806	0.3463	0.97	0.850	0.970
1.846	0.9819	0.9900	1.0000	0.9906	0.9500	0.4136	0.9126	0.8806	0.3324	0.97	0.850	0.931
1.872	0.9820	0.9900	1.0000	0.9899	0.9500	0.3969	0.9133	0.8761	0.3176	0.97	0.863	0.902
1.898	0.9820	0.9900	1.0000	0.9862	0.8684	0.3806	0.9132	0.7768	0.2700	0.97	0.863	0.767
1.923	0.9822	0.9900	1.0000	0.9862	0.0000	0.3650	0.9139	0.0000	0.0000	0.97	0.867	0.000
1.949	0.9827	0.9900	1.0000	0.9824	0.0000	0.3500	0.9165	0.0000	0.0000	0.97	0.867	0.000
1.974	0.9831	0.9900	1.0000	0.9786	0.0000	0.3355	0.9184	0.0000	0.0000	0.97	0.876	0.000
2.000	0.9832	0.9900	1.0000	0.9748	0.0000	0.3216	0.9186	0.0000	0.0000	0.97	0.864	0.000
