# flux          loglam   ivar         
  3.5136974     3.5575   0.054282676  
  8.495171      3.5576   0.052527733  
  7.1618295     3.5577   0.056915034  
  -1.6261244    3.5578   0.06529528   
  -5.5821757    3.5579   0.06595902   
  -1.3298975    3.558    0.059850957  
  3.1058946     3.5581   0.061558727  
  -0.24495915   3.5582   0.06550083   
  -1.5926503    3.5583   0.065747     
  2.6323764     3.5584   0.061022446  
  4.114399      3.5585   0.055309836  
  4.4418993     3.5586   0.06006355   
  5.886412      3.5587   0.06043104   
  1.2490729     3.5588   0.06193114   
  4.091699      3.5589   0.06418136   
  2.0055904     3.559    0.067150846  
  0.2529224     3.5591   0.078852355  
  4.1303964     3.5592   0.07036204   
  5.057367      3.5593   0.07821808   
  -8.198972     3.5594   0.083234504  
  2.2425387     3.5595   0.07909699   
  5.511494      3.5596   0.07672248   
  -3.4900255    3.5597   0.10060931   
  0.41912326    3.5598   0.07610515   
  14.770987     3.5599   0.067486964  
  -7.2120895    3.56     0.0774942    
  2.590882      3.5601   0.07605954   
  0.61637866    3.5602   0.063238285  
  2.3374906     3.5603   0.07614271   
  5.260605      3.5604   0.06755049   
  -0.99101347   3.5605   0.07361598   
  3.0581832     3.5606   0.072362155  
  0.7230651     3.5607   0.07210456   
  3.048156      3.5608   0.07336927   
  4.8226466     3.5609   0.06927261   
  3.001894      3.561    0.07463721   
  2.5847704     3.5611   0.07210149   
  6.641099      3.5612   0.0709481    
  0.035666525   3.5613   0.07272991   
  4.409173      3.5614   0.07524969   
  3.007401      3.5615   0.0789964    
  -0.71647614   3.5616   0.092573605  
  4.2064013     3.5617   0.08502005   
  3.9535747     3.5618   0.07644542   
  9.860473      3.5619   0.07032503   
  5.4891367     3.562    0.071489304  
  7.30548       3.5621   0.07795894   
  8.83269       3.5622   0.06877415   
  -0.163991     3.5623   0.08306251   
  1.8264195     3.5624   0.07902616   
  2.948362      3.5625   0.083145276  
  -0.75823355   3.5626   0.09694095   
  -1.944335     3.5627   0.10848557   
  2.743555      3.5628   0.100702085  
  8.025878      3.5629   0.084355846  
  5.7291665     3.563    0.0889329    
  2.2076848     3.5631   0.09677529   
  4.213047      3.5632   0.09582915   
  6.176581      3.5633   0.09240663   
  2.1155086     3.5634   0.10459457   
  -2.610198     3.5635   0.11546124   
  4.5530615     3.5636   0.11078019   
  0.5010995     3.5637   0.11762375   
  -1.5280694    3.5638   0.1274309    
  -1.0464011    3.5639   0.13435084   
  -0.37863684   3.564    0.13262461   
  1.1980613     3.5641   0.12258133   
  4.286472      3.5642   0.11412961   
  3.175273      3.5643   0.118134595  
