# flux           loglam   ivar         
  -47.60596      3.5525   0.07534712   
  28.444157      3.5526   0.07446857   
  -3.7777607     3.5527   0.068166554  
  -21.436232     3.5528   0.069768734  
  37.00985       3.5529   0.069828704  
  -25.207361     3.553    0.069678456  
  28.325645      3.5531   0.07255286   
  -13.96789      3.5532   0.07779385   
  -0.18899545    3.5533   0.073538356  
  13.2764        3.5534   0.0762511    
  -12.434945     3.5535   0.07687072   
  14.472944      3.5536   0.077496365  
  -6.2579575     3.5537   0.08317176   
  1.4548949      3.5538   0.09466032   
  1.8575711      3.5539   0.09442375   
  1.6817884      3.554    0.08948567   
  7.0918965      3.5541   0.09262671   
  -1.4564744     3.5542   0.092364974  
  4.32214        3.5543   0.09266934   
  -0.42044258    3.5544   0.1072342    
  1.2072654      3.5545   0.09997798   
  4.441731       3.5546   0.09850801   
  1.7392384      3.5547   0.10637522   
  0.7661954      3.5548   0.10800194   
  4.3165717      3.5549   0.09981227   
  7.7225842      3.555    0.09335226   
  4.7135453      3.5551   0.1038513    
  1.4319646      3.5552   0.107558236  
  4.835761       3.5553   0.09818813   
  9.789856       3.5554   0.09645875   
  1.261604       3.5555   0.11027223   
  0.9816624      3.5556   0.1255824    
  2.435893       3.5557   0.11745357   
  1.5032456      3.5558   0.11229225   
  1.6834688      3.5559   0.10938786   
  4.8523197      3.556    0.11357862   
  0.92060554     3.5561   0.122363746  
  1.8779112      3.5562   0.12037862   
  2.1389024      3.5563   0.12934878   
  4.7196813      3.5564   0.11706992   
  5.463493       3.5565   0.12371434   
  -3.61894       3.5566   0.13345133   
  3.079858       3.5567   0.12609465   
  5.605231       3.5568   0.11188302   
  5.846993       3.5569   0.11652654   
  3.359655       3.557    0.12623972   
  0.34894237     3.5571   0.1316403    
  2.4707332      3.5572   0.13497303   
  1.7382401      3.5573   0.1390299    
  3.453303       3.5574   0.1325284    
  2.6566067      3.5575   0.13601509   
  1.2161884      3.5576   0.15025388   
  2.8636348      3.5577   0.15192915   
  5.218166       3.5578   0.14880097   
  1.5347706      3.5579   0.15672083   
  4.16734        3.558    0.15118769   
  3.7913778      3.5581   0.14218919   
  -0.70233405    3.5582   0.15716138   
  -2.0127254     3.5583   0.15480325   
  3.2143104      3.5584   0.1393749    
  2.906075       3.5585   0.13605045   
  3.4819837      3.5586   0.1310268    
  2.4691718      3.5587   0.13411143   
  2.6731498      3.5588   0.14271829   
  1.2282294      3.5589   0.18564446   
  -6.387154      3.559    0.21889251   
  0.6567285      3.5591   0.20089191   
  0.33346063     3.5592   0.2066923    
  3.9381487      3.5593   0.17949764   
  6.1737456      3.5594   0.17346439   
  3.1567817      3.5595   0.1802491    
  4.6863456      3.5596   0.1796545    
  6.8186536      3.5597   0.16408509   
  3.7379913      3.5598   0.19314402   
  2.2465885      3.5599   0.19056508   
  1.5262823      3.56     0.18679722   
  -0.16719073    3.5601   0.20143227   
  0.060897037    3.5602   0.21658221   
  1.6730527      3.5603   0.20971194   
  2.921479       3.5604   0.19084293   
  2.3605235      3.5605   0.21077098   
  -0.899762      3.5606   0.23203231   
  -1.9118488     3.5607   0.22005302   
  4.34           3.5608   0.19166991   
  3.3842158      3.5609   0.18884067   
  -0.7853694     3.561    0.21838444   
  -0.41930172    3.5611   0.23147342   
  4.199831       3.5612   0.19917428   
  6.320786       3.5613   0.18881302   
  2.9543586      3.5614   0.19436829   
  6.867224       3.5615   0.18978105   
  2.3475652      3.5616   0.22375776   
  0.59038454     3.5617   0.22879423   
  1.8039091      3.5618   0.23938307   
  1.8395298      3.5619   0.24649142   
  2.201714       3.562    0.24453093   
  2.6252184      3.5621   0.23474537   
  3.2137496      3.5622   0.22274518   
  0.081250645    3.5623   0.24427836   
  1.7635486      3.5624   0.20224586   
  6.6176205      3.5625   0.18864639   
  1.1738471      3.5626   0.2057555    
  1.2647825      3.5627   0.21592727   
  5.4189987      3.5628   0.19093475   
  7.550217       3.5629   0.18254074   
  2.7910821      3.563    0.24741861   
  -1.836229      3.5631   0.26812324   
  4.0878353      3.5632   0.26290175   
  2.1456933      3.5633   0.26128754   
  6.4260125      3.5634   0.22218038   
  6.317765       3.5635   0.20768768   
  3.1266458      3.5636   0.22869569   
  3.7363515      3.5637   0.21413758   
  5.8163314      3.5638   0.20929296   
  -1.0012856     3.5639   0.23867936   
  3.7021453      3.564    0.2418782    
  5.069233       3.5641   0.24557269   
  3.541215       3.5642   0.2536395    
  3.9388835      3.5643   0.27037945   
  2.850145       3.5644   0.28031665   
  3.6127796      3.5645   0.28878462   
  2.8808892      3.5646   0.31291106   
  1.1877226      3.5647   0.33449146   
  2.74951        3.5648   0.28350565   
  4.7330294      3.5649   0.2859123    
  0.53832185     3.565    0.31126073   
  2.9149787      3.5651   0.3299656    
  1.1706257      3.5652   0.34034553   
  0.42647013     3.5653   0.3551188    
  3.0857594      3.5654   0.30354515   
  4.6085744      3.5655   0.28713503   
  1.1030822      3.5656   0.31260598   
  2.2000487      3.5657   0.329741     
  3.5589468      3.5658   0.3034309    
  4.013052       3.5659   0.31470546   
  0.7934405      3.566    0.35972404   
  -0.3865725     3.5661   0.3317202    
  6.2916083      3.5662   0.36950752   
  -4.841708      3.5663   0.44421718   
  1.234711       3.5664   0.46455398   
  2.2757983      3.5665   0.36409396   
  2.4805086      3.5666   0.37511742   
  5.0964775      3.5667   0.40196955   
  -2.8603435     3.5668   0.44023365   
  2.8891094      3.5669   0.4209458    
  5.0202007      3.567    0.36777806   
  1.7889628      3.5671   0.42231107   
  2.5489416      3.5672   0.38324815   
  6.0057936      3.5673   0.37536937   
  1.8690294      3.5674   0.36948082   
  5.4026527      3.5675   0.3732306    
  0.12988012     3.5676   0.38915175   
  3.190069       3.5677   0.39778265   
  5.7402673      3.5678   0.33566582   
  0.16738282     3.5679   0.42738482   
  -0.25031862    3.568    0.43619457   
  1.3879812      3.5681   0.44197568   
  -0.5677881     3.5682   0.44459215   
  3.1177154      3.5683   0.3953997    
  6.133212       3.5684   0.3106355    
  2.5954182      3.5685   0.381188     
  -0.045916595   3.5686   0.4280592    
  1.7578261      3.5687   0.43768784   
  0.98004943     3.5688   0.4686459    
  1.501875       3.5689   0.5079007    
  2.8427727      3.569    0.44741625   
  2.932234       3.5691   0.44213012   
  2.6669676      3.5692   0.44212058   
  2.9939156      3.5693   0.42740446   
  5.2883115      3.5694   0.43659416   
  -0.20362437    3.5695   0.5436457    
  -2.1565456     3.5696   0.74100095   
  3.4070547      3.5697   0.53500026   
  1.8752371      3.5698   0.5575428    
  2.816094       3.5699   0.5392709    
  2.0047424      3.57     0.5662711    
  0.83975846     3.5701   0.6181614    
  0.20270512     3.5702   0.6271428    
  0.5728575      3.5703   0.64047533   
  2.0904844      3.5704   0.6013636    
  1.3754666      3.5705   0.6813809    
  1.3731332      3.5706   0.69494796   
  1.5352137      3.5707   0.6924091    
  1.6784858      3.5708   0.719649     
  1.503807       3.5709   0.71288955   
  1.1002365      3.571    0.7834618    
  4.042218       3.5711   0.66516787   
  4.466079       3.5712   0.63057554   
  2.0215664      3.5713   0.7143671    
  0.48260143     3.5714   0.78330356   
  0.7721779      3.5715   0.73206514   
  0.11498054     3.5716   0.75912374   
  1.3542187      3.5717   0.6990475    
  1.4467095      3.5718   0.6670787    
  2.425471       3.5719   0.6128164    
  1.6215907      3.572    0.60313755   
  -0.4597529     3.5721   0.66189      
  1.5521846      3.5722   0.6767424    
  1.4736271      3.5723   0.68590206   
  0.47329277     3.5724   0.731872     
  0.5684089      3.5725   0.68567425   
  2.3473763      3.5726   0.5653084    
  2.5785         3.5727   0.50518304   
  -1.0771674     3.5728   0.61888444   
  2.0717328      3.5729   0.56461227   
  -0.084701434   3.573    0.7949163    
  2.0899458      3.5731   0.6979597    
  4.044035       3.5732   0.7090143    
  1.7967082      3.5733   0.7701058    
  2.742728       3.5734   0.7824865    
  1.9719682      3.5735   0.8603594    
  3.4919524      3.5736   0.7242746    
  2.9241073      3.5737   0.74233747   
  1.6993182      3.5738   0.8699229    
  1.5646757      3.5739   1.0178742    
  0.90894914     3.574    1.0090989    
  3.592464       3.5741   0.78249764   
  1.8331568      3.5742   0.8263457    
  1.1522418      3.5743   0.94127864   
  2.565238       3.5744   0.88892066   
  2.8199553      3.5745   0.9225477    
  0.7355783      3.5746   0.9827177    
  0.40105292     3.5747   0.986867     
  -0.9219669     3.5748   0.9542119    
  1.6512234      3.5749   0.82365215   
  3.7621603      3.575    0.82550687   
  2.5768466      3.5751   0.7643808    
  2.816969       3.5752   0.85165405   
  0.6362139      3.5753   0.96744007   
  1.731094       3.5754   0.905724     
  3.8136775      3.5755   0.8341108    
  2.0038927      3.5756   0.8623272    
  -0.35825577    3.5757   1.0407968    
  4.4576         3.5758   0.9025732    
  3.1320877      3.5759   0.85097116   
  1.6706681      3.576    1.0101275    
  1.1438841      3.5761   1.0458425    
  0.8195804      3.5762   1.0389739    
  0.62800294     3.5763   1.061635     
  1.5888522      3.5764   0.96508193   
  4.101943       3.5765   0.8250774    
  1.809346       3.5766   0.81433904   
  2.0556595      3.5767   0.91173667   
  2.5377104      3.5768   0.8676702    
  0.6440242      3.5769   0.9356532    
  1.2954155      3.577    0.91146606   
  2.2589765      3.5771   0.8785462    
  1.4154085      3.5772   0.97909856   
  1.5602359      3.5773   1.0964369    
  3.1027348      3.5774   1.0247067    
  5.0068617      3.5775   0.80804765   
  7.7344294      3.5776   0.6539142    
  12.583342      3.5777   0.5322575    
  10.181359      3.5778   0.54165506   
  11.008155      3.5779   0.52662957   
  14.079211      3.578    0.46408644   
  12.381226      3.5781   0.49586844   
  6.369034       3.5782   0.6778283    
  4.7703156      3.5783   0.7978607    
  3.280651       3.5784   0.9748932    
  2.534185       3.5785   1.0945951    
  2.8606699      3.5786   1.0718735    
  3.273806       3.5787   0.97888577   
  2.6041024      3.5788   0.9689639    
  0.89528        3.5789   1.1712241    
  1.6210743      3.579    1.1425452    
  1.6435368      3.5791   1.1590563    
  2.0759053      3.5792   1.0876905    
  2.5944135      3.5793   1.1514658    
  -0.0090284115  3.5794   1.3739873    
  1.8871768      3.5795   1.3442881    
  2.0317283      3.5796   1.3864169    
  3.614016       3.5797   1.1429261    
  3.8210323      3.5798   1.0780741    
  1.1928238      3.5799   1.1284451    
  1.0746113      3.58     1.1474348    
  1.8830476      3.5801   1.1183385    
  0.25201774     3.5802   1.2745634    
  1.2569258      3.5803   1.205564     
  1.9423933      3.5804   1.3445104    
  0.47864535     3.5805   1.4128962    
  1.6610723      3.5806   1.483073     
  1.1682688      3.5807   1.5307099    
  2.0790484      3.5808   1.5033691    
  0.4230732      3.5809   1.7169507    
  0.3493577      3.581    1.4946795    
  2.956549       3.5811   1.2865818    
  1.4198341      3.5812   1.1707817    
  2.3974776      3.5813   1.0770955    
  3.0252552      3.5814   1.0024581    
  2.0240664      3.5815   1.0360981    
  2.6211796      3.5816   1.0412593    
  4.976874       3.5817   0.91224736   
  3.9256098      3.5818   1.0990463    
  1.7213498      3.5819   1.2819048    
  2.3337295      3.582    1.3659568    
  1.5941057      3.5821   1.402703     
  1.5200446      3.5822   1.3746524    
  3.0809782      3.5823   1.063261     
  1.4274887      3.5824   1.2627895    
  -0.26166886    3.5825   1.7141966    
  1.2605237      3.5826   1.7095745    
  1.0184349      3.5827   1.6325142    
  0.6978946      3.5828   1.5879545    
  2.2687857      3.5829   1.3366836    
  2.264375       3.583    1.2615929    
  1.5974207      3.5831   1.3291903    
  1.8797903      3.5832   1.1928596    
  2.642856       3.5833   1.1245397    
  2.4044437      3.5834   1.1299891    
  1.4983324      3.5835   1.1805367    
  2.1408198      3.5836   1.2364445    
  2.829904       3.5837   1.2075475    
  2.8833604      3.5838   1.2511647    
  1.7066804      3.5839   1.4122066    
  1.5805378      3.584    1.3202846    
  3.07651        3.5841   1.2200556    
  2.9517891      3.5842   1.3913863    
  1.7489043      3.5843   1.7055042    
  2.3984265      3.5844   1.5321257    
  2.8353236      3.5845   1.3943244    
  3.4547446      3.5846   1.2823132    
  3.265511       3.5847   1.4452126    
  0.43923563     3.5848   1.4763212    
  4.438442       3.5849   1.2953244    
  0.9465017      3.585    1.2067376    
  2.977319       3.5851   1.2699453    
  4.87805        3.5852   1.2840749    
  0.9694842      3.5853   1.7958318    
  2.0732276      3.5854   1.7665417    
  1.8746983      3.5855   1.6365248    
  1.2089742      3.5856   1.5695275    
  3.505373       3.5857   1.4548281    
  3.6718862      3.5858   1.4607561    
  0.67392266     3.5859   1.8344531    
  2.2825165      3.586    1.627125     
  1.8825572      3.5861   1.7299374    
  2.7066143      3.5862   1.7937639    
  1.7598916      3.5863   1.8987505    
  0.9041823      3.5864   2.223292     
  1.7698536      3.5865   2.27748      
  1.5554649      3.5866   2.32241      
  2.3290713      3.5867   1.9724709    
  2.265077       3.5868   1.7174315    
  2.790828       3.5869   1.580655     
  2.5401778      3.587    1.7282438    
  1.7373617      3.5871   1.962763     
  3.4120946      3.5872   1.6563203    
  2.5749168      3.5873   1.6989026    
  3.4638498      3.5874   1.5947984    
  2.9191358      3.5875   1.7408527    
  1.3271656      3.5876   2.1779718    
  0.8637168      3.5877   2.4226       
  1.2394568      3.5878   2.3197045    
  1.5781883      3.5879   2.2485929    
  3.0719805      3.588    1.9992553    
  3.6053843      3.5881   1.8770788    
  3.1316707      3.5882   1.7256384    
  2.596205       3.5883   1.7592906    
  1.9956492      3.5884   1.8408973    
  1.7591838      3.5885   1.9554244    
  2.2247884      3.5886   2.1407695    
  2.5636857      3.5887   2.081513     
  1.7931128      3.5888   2.3349085    
  1.2940274      3.5889   2.2890196    
  3.254555       3.589    2.1514707    
  2.2838943      3.5891   2.1739857    
  2.839201       3.5892   2.2177813    
  2.3964345      3.5893   2.2115066    
  1.5558374      3.5894   2.5979393    
  1.5275967      3.5895   2.7618082    
  1.279369       3.5896   2.963946     
  3.3375673      3.5897   2.4696171    
  1.3510875      3.5898   2.843174     
  0.93245554     3.5899   3.0345805    
  1.4515126      3.59     2.6089094    
  0.8943708      3.5901   2.8644402    
  2.099774       3.5902   2.5977273    
  2.7957442      3.5903   2.3022583    
  1.8381255      3.5904   2.599005     
  1.6906995      3.5905   2.5981824    
  2.049586       3.5906   2.346741     
  1.9170445      3.5907   2.1740382    
  1.9975199      3.5908   2.2481453    
  1.5308142      3.5909   2.3882623    
  1.189457       3.591    2.5507755    
  2.4617202      3.5911   2.0174093    
