wavelengths obs_spec1d_cal
7396.727415222787 3.6176756136637927e-06
7415.76847573868 6.040938351652066e-07
7434.809536254574 1.6886314155581228e-07
7453.850596770467 7.995520575826721e-08
7472.891657286361 5.476837271122652e-08
7492.424804410625 4.581701036237509e-08
7512.251088464383 4.311625225882115e-08
7532.077372518143 4.3280072811382784e-08
7551.903656571903 4.4243789592038156e-08
7571.7299406256625 4.478414696098829e-08
7592.053283216814 4.447852898183766e-08
7612.732339177233 4.3331571313599807e-08
7633.411395137654 4.145854224284051e-08
7654.090451098074 3.9199082845095596e-08
7674.786202613695 3.71527491356822e-08
7696.107999929482 3.574157000999466e-08
7717.669761469657 3.492585491197109e-08
7739.231523009832 3.447839126085772e-08
7760.793284550008 3.418697817761956e-08
7782.490222972335 3.401313426358092e-08
7804.867397650476 3.396444268051397e-08
7827.286146279105 3.414519870606457e-08
7849.704894907734 3.4570136861077437e-08
7872.1236435363635 3.530001957815676e-08
7895.119823010731 3.637591435486251e-08
7918.428746848099 3.785427165621517e-08
7941.737670685466 3.9626110931066407e-08
7965.046594522833 4.151804760375276e-08
7988.673603147633 4.339923648073217e-08
8012.869870386626 4.524582630496157e-08
8037.0661376256185 4.701770915864931e-08
8061.262404864611 4.8588696136964746e-08
8085.678162245467 4.9939411420399806e-08
8110.782920249904 5.1262580119285035e-08
8135.89953762546 5.27599560128516e-08
8161.016155001015 5.4358259343617566e-08
8186.363998800176 5.600053061484284e-08
8212.38912348651 5.762821040202454e-08
8238.421798946514 5.940545187070908e-08
8264.454474406517 6.148241878144498e-08
8290.869089660831 6.394763608136853e-08
8317.849869690435 6.669915709791496e-08
8344.83064972004 6.9644878641553e-08
8371.817344959716 7.260699677979408e-08
8399.448867017029 7.531335763965049e-08
8427.37243795284 7.765859205916001e-08
8455.29600888865 7.94729941519305e-08
8483.376190014082 8.077338593317988e-08
8512.2295709114 8.155102500069437e-08
8541.127247851762 8.195941299171128e-08
8570.024924792122 8.206281403958295e-08
8599.55679112799 8.184492611009072e-08
8629.422971265183 8.139761820834883e-08
8659.28915140238 8.088342166658194e-08
8689.461425497808 7.991448281223403e-08
8720.326133897575 7.759226884748942e-08
8751.190842297345 7.341209012709535e-08
8782.190787477379 6.754286400285604e-08
