# flux           loglam   ivar         
  6.8673596      3.5556   0.0621459    
  8.161302       3.5557   0.06097771   
  3.558218       3.5558   0.06145454   
  7.569823       3.5559   0.06309577   
  7.7560754      3.556    0.06135428   
  0.71892977     3.5561   0.069123834  
  3.6873586      3.5562   0.07242031   
  -2.3316832     3.5563   0.07644832   
  -7.062105      3.5564   0.082073666  
  1.1689445      3.5565   0.07168799   
  4.393467       3.5566   0.07565303   
  -1.7473234     3.5567   0.081220135  
  5.552767       3.5568   0.08056339   
  9.9515505      3.5569   0.08044782   
  -6.6701508     3.557    0.09415655   
  -10.677542     3.5571   0.10395174   
  0.6918801      3.5572   0.093253806  
  4.9149075      3.5573   0.09009042   
  -6.0849257     3.5574   0.09129344   
  4.7224317      3.5575   0.08933323   
  3.080245       3.5576   0.08524827   
  2.552598       3.5577   0.08522567   
  1.3036171      3.5578   0.08865941   
  -1.4930243     3.5579   0.088956594  
  4.4398146      3.558    0.0867958    
  -0.40770486    3.5581   0.08982214   
  1.2416556      3.5582   0.093766585  
  -1.6295702     3.5583   0.09922058   
  -4.185546      3.5584   0.10280021   
  -1.1264161     3.5585   0.097578645  
  0.7434492      3.5586   0.09056077   
  4.756505       3.5587   0.091744006  
  -8.055292      3.5588   0.10631227   
  -4.6537676     3.5589   0.11318842   
  1.2864108      3.559    0.10787258   
  -1.030024      3.5591   0.10583113   
  7.940923       3.5592   0.10904411   
  1.4284164      3.5593   0.118455596  
  2.1186752      3.5594   0.12373714   
  1.7089077      3.5595   0.1254883    
  3.2577612      3.5596   0.1215005    
  5.8328195      3.5597   0.1239101    
  -0.64642113    3.5598   0.13102862   
  3.386113       3.5599   0.13065735   
  5.2396407      3.56     0.11931402   
  1.0243536      3.5601   0.12283665   
  2.4386344      3.5602   0.10383787   
  7.446009       3.5603   0.10494421   
  0.29259324     3.5604   0.11467876   
  3.451167       3.5605   0.11874768   
  -2.2539093     3.5606   0.119582005  
  4.2363772      3.5607   0.114883855  
  6.557882       3.5608   0.11279986   
  -1.221869      3.5609   0.11704354   
  6.2136145      3.561    0.11843268   
  2.8954804      3.5611   0.1237147    
  0.26209357     3.5612   0.13803487   
  0.10950379     3.5613   0.14286226   
  3.3333733      3.5614   0.13931486   
  4.0838046      3.5615   0.14532752   
  -3.7286215     3.5616   0.15957396   
  1.1973901      3.5617   0.1692236    
  -6.003612      3.5618   0.17057139   
  -1.8519623     3.5619   0.16832961   
  0.34978202     3.562    0.17490734   
  -4.877924      3.5621   0.17395692   
  5.1281376      3.5622   0.13652919   
  0.8461724      3.5623   0.12919275   
  -0.8040997     3.5624   0.15530673   
  1.637411       3.5625   0.15463163   
  -0.32678342    3.5626   0.17188117   
  -2.3336334     3.5627   0.17899632   
  5.677979       3.5628   0.17308971   
  -5.5263023     3.5629   0.17939614   
  1.7807716      3.563    0.14837383   
  6.37783        3.5631   0.1437696    
  4.2238503      3.5632   0.16319601   
  3.181316       3.5633   0.19166002   
  2.6348553      3.5634   0.19595115   
  0.6917073      3.5635   0.19137467   
  0.26959586     3.5636   0.19718574   
  4.3178196      3.5637   0.20763364   
  2.237109       3.5638   0.22233084   
  -3.702971      3.5639   0.24059087   
  2.5401595      3.564    0.2230998    
  -0.7903316     3.5641   0.23750538   
  0.22113086     3.5642   0.24493168   
  2.6368065      3.5643   0.24177992   
  1.720649       3.5644   0.2630663    
  1.024875       3.5645   0.2949544    
  5.7691817      3.5646   0.28014266   
  2.009717       3.5647   0.29798576   
  3.2775447      3.5648   0.3067287    
  0.060494166    3.5649   0.31316674   
  -0.19819118    3.565    0.31215128   
  4.2979226      3.5651   0.2872238    
  0.39106146     3.5652   0.32209247   
  2.5139062      3.5653   0.2842609    
  3.6665204      3.5654   0.28874817   
  1.3538384      3.5655   0.3533017    
  -1.3230963     3.5656   0.40274552   
  -0.8698563     3.5657   0.3713715    
  1.4173551      3.5658   0.3681978    
  -1.5363833     3.5659   0.40831083   
  -2.3318996     3.566    0.40827549   
  0.9841105      3.5661   0.3897875    
  1.7160535      3.5662   0.3748167    
  -0.8065777     3.5663   0.36933497   
  1.3372544      3.5664   0.36634362   
  2.0670137      3.5665   0.36556184   
  -0.21498877    3.5666   0.40108964   
  2.0611484      3.5667   0.39525944   
  3.4674745      3.5668   0.37650156   
  0.40783948     3.5669   0.41682345   
  -0.44140813    3.567    0.45005563   
  -1.5513694     3.5671   0.4559441    
  1.1653779      3.5672   0.41929743   
  1.2000692      3.5673   0.4225487    
  1.0624002      3.5674   0.41483474   
  1.9483783      3.5675   0.4035533    
  -0.68656254    3.5676   0.4405128    
  1.1168164      3.5677   0.41708612   
  0.9352453      3.5678   0.44818377   
  -0.53719395    3.5679   0.46007124   
  -1.7206118     3.568    0.44249842   
  -1.0542732     3.5681   0.40595952   
  1.4935288      3.5682   0.36765406   
  0.2231197      3.5683   0.38025123   
  2.6009433      3.5684   0.36887023   
  1.1326104      3.5685   0.41466913   
  -1.2961954     3.5686   0.44950357   
  -0.25212044    3.5687   0.4462947    
  1.2126975      3.5688   0.43450612   
  2.4766848      3.5689   0.42058513   
  0.92515814     3.569    0.4546839    
  -0.15904167    3.5691   0.4780151    
  0.6004123      3.5692   0.47411722   
  2.2572112      3.5693   0.45320314   
  2.9104862      3.5694   0.44950402   
  0.7865912      3.5695   0.4871329    
  0.21894494     3.5696   0.5007021    
  0.18741743     3.5697   0.54880834   
  -0.26169118    3.5698   0.54720205   
  0.606341       3.5699   0.5187502    
  3.555218       3.57     0.48916662   
  0.42644015     3.5701   0.55615187   
  -1.2253207     3.5702   0.6456785    
  0.4700713      3.5703   0.58463603   
  2.420856       3.5704   0.5441973    
  1.5501535      3.5705   0.56816775   
  -0.68797815    3.5706   0.63077354   
  1.9900815      3.5707   0.6693841    
  -0.20810193    3.5708   0.6963914    
  -1.0298787     3.5709   0.7594994    
  0.6046191      3.571    0.70400167   
  2.2985525      3.5711   0.64646304   
  2.4913118      3.5712   0.6632799    
  -2.2093623     3.5713   0.70857245   
  0.8798814      3.5714   0.69858      
  1.694147       3.5715   0.60182357   
  2.5402772      3.5716   0.6373998    
  4.100055       3.5717   0.6232172    
  -0.74110836    3.5718   0.68167645   
  2.2113976      3.5719   0.6690094    
  1.4440702      3.572    0.6183861    
  0.77665585     3.5721   0.63393646   
  1.1014444      3.5722   0.6470958    
  1.5327797      3.5723   0.6289527    
  2.1109037      3.5724   0.684483     
  -1.3576943     3.5725   0.7588178    
  1.4963061      3.5726   0.72921795   
  2.3924887      3.5727   0.62352085   
  1.0795059      3.5728   0.6431867    
  0.95463777     3.5729   0.58297086   
  1.2331588      3.573    0.53897107   
  1.8463216      3.5731   0.56233203   
  0.5049883      3.5732   0.6527777    
  -0.7877102     3.5733   0.7048204    
  0.4011201      3.5734   0.7450461    
  2.2048216      3.5735   0.736057     
  0.99909145     3.5736   0.79955953   
  3.1742988      3.5737   0.70379823   
  3.9290237      3.5738   0.6788991    
  0.85608        3.5739   0.76372194   
  -0.57211065    3.574    0.85501605   
  1.1530501      3.5741   0.77882624   
  0.12038214     3.5742   0.8190303    
  -0.068321556   3.5743   0.88184255   
  1.7139527      3.5744   0.86577207   
  0.6427235      3.5745   0.90529555   
  0.5550903      3.5746   0.8610367    
  3.0416121      3.5747   0.7493005    
  2.1277516      3.5748   0.76905733   
  0.7562075      3.5749   0.87867814   
  -0.2113462     3.575    0.95710087   
  3.2163973      3.5751   0.8584436    
  3.6610384      3.5752   0.8742534    
  -0.1592695     3.5753   0.9882617    
  1.8936452      3.5754   1.0205353    
  2.2282107      3.5755   0.9903671    
  0.23230699     3.5756   1.1258807    
  -0.3866097     3.5757   1.190599     
  -0.42181948    3.5758   1.1577449    
  -0.91874045    3.5759   1.1439723    
  -0.19863833    3.576    1.1378416    
  0.63645184     3.5761   1.1289768    
  0.8319044      3.5762   1.1799253    
  1.2448431      3.5763   1.1907432    
  0.5202457      3.5764   1.3348497    
  -0.30141658    3.5765   1.198253     
  1.7491307      3.5766   1.0395755    
  0.6912446      3.5767   0.96084905   
  0.6157015      3.5768   0.96103513   
  0.16343544     3.5769   1.0086718    
  1.2332835      3.577    0.9873702    
  3.7286458      3.5771   0.89570403   
  3.3892093      3.5772   0.87014526   
  2.5339293      3.5773   0.9073914    
  1.8981483      3.5774   0.99516773   
  0.698989       3.5775   1.0807108    
  0.38129416     3.5776   1.1511565    
  0.953694       3.5777   1.1468749    
  0.38107747     3.5778   1.1910182    
  1.4484283      3.5779   1.2115675    
  0.50554705     3.578    1.2398634    
  0.9290309      3.5781   1.2690082    
  0.7432476      3.5782   1.1714939    
  -0.6683918     3.5783   1.3146048    
  0.74729395     3.5784   1.284918     
  1.5620923      3.5785   1.2217643    
  2.2845862      3.5786   1.2170435    
  0.69888437     3.5787   1.2509862    
  0.5574718      3.5788   1.1905614    
  1.9374524      3.5789   1.0958596    
  -0.46366653    3.579    1.3505377    
  0.92471606     3.5791   1.2801323    
  0.7246915      3.5792   1.2176983    
  1.3146988      3.5793   1.1889126    
  1.9415354      3.5794   1.1840107    
  1.3915088      3.5795   1.2520142    
  1.1883997      3.5796   1.3422539    
  0.87934655     3.5797   1.4458454    
  -0.420516      3.5798   1.5652883    
  -1.1317868     3.5799   1.4867816    
  -0.41619566    3.58     1.4201133    
  1.0606599      3.5801   1.3684143    
  1.8716104      3.5802   1.337823     
  1.5208908      3.5803   1.4381016    
  -0.68778956    3.5804   1.6481304    
  0.08011198     3.5805   1.5849359    
  1.1205323      3.5806   1.4925343    
  0.4931629      3.5807   1.442085     
  1.7435452      3.5808   1.3643185    
  1.9058099      3.5809   1.3707181    
  -0.28837815    3.581    1.5920665    
  0.6543748      3.5811   1.4892894    
  1.5941861      3.5812   1.5130404    
  0.6618146      3.5813   1.4025054    
  1.861849       3.5814   1.3741398    
  0.108982705    3.5815   1.3646712    
  2.000342       3.5816   1.3073483    
  2.062832       3.5817   1.3366624    
  1.5131937      3.5818   1.3175079    
  1.9370584      3.5819   1.4030737    
  0.6343163      3.582    1.5270226    
  1.9592638      3.5821   1.5825435    
  2.5535088      3.5822   1.5565971    
  1.1551062      3.5823   1.5826254    
  0.27479514     3.5824   1.7029335    
  1.2161487      3.5825   1.5653723    
  1.4548112      3.5826   1.6535621    
  -0.48693955    3.5827   1.9616799    
  -1.01661       3.5828   2.0758586    
  0.1851682      3.5829   2.0139527    
  1.040822       3.583    1.8178616    
  0.57027346     3.5831   1.7106594    
  -0.07102949    3.5832   1.5805109    
  -0.61286104    3.5833   1.5654944    
  1.9923297      3.5834   1.3387635    
  1.7189511      3.5835   1.3307364    
  0.5411377      3.5836   1.3791198    
  1.0411588      3.5837   1.4268531    
  0.69482845     3.5838   1.5168713    
  1.6182413      3.5839   1.4966149    
  1.924832       3.584    1.5064206    
  1.916938       3.5841   1.5411264    
  1.5336255      3.5842   1.6684762    
  0.7834564      3.5843   1.8197097    
  0.7513983      3.5844   1.7715019    
  2.4124863      3.5845   1.5871129    
  1.1933373      3.5846   1.5756301    
  0.27553943     3.5847   1.7137269    
  0.028741285    3.5848   1.9390465    
  -0.008510906   3.5849   1.934293     
  1.2911156      3.585    1.7592479    
  2.19669        3.5851   1.6689619    
  0.7790557      3.5852   1.7983791    
  0.530018       3.5853   2.0299537    
  0.81656146     3.5854   2.1395228    
  0.83335364     3.5855   1.9331543    
  1.9554831      3.5856   1.8170896    
  1.001026       3.5857   1.9002452    
  -0.5585973     3.5858   2.1589942    
  0.20059542     3.5859   2.3195224    
  1.3685092      3.586    2.0461652    
  0.5703234      3.5861   2.119947     
  -0.509829      3.5862   2.5129921    
  1.4634781      3.5863   2.2033508    
  -0.15712173    3.5864   2.5084593    
  0.14808424     3.5865   2.6600132    
  1.2076255      3.5866   2.6382842    
  0.27381617     3.5867   2.8102686    
  -0.48949996    3.5868   2.713405     
  -0.1364092     3.5869   2.5502298    
  -0.4832828     3.587    2.644381     
  0.19202366     3.5871   2.5097551    
  1.1032118      3.5872   2.3441668    
  0.9404735      3.5873   2.385296     
  0.31442368     3.5874   2.5151114    
  0.1851032      3.5875   2.6463072    
  1.3036484      3.5876   2.5646505    
  0.9785091      3.5877   2.8344564    
  0.7573709      3.5878   2.696558     
  1.4894568      3.5879   2.8308284    
  0.8235273      3.588    3.0303454    
  0.8006571      3.5881   3.0882246    
  0.20177692     3.5882   2.9381444    
  0.72072196     3.5883   2.6380672    
  0.8386584      3.5884   2.6610317    
  0.17040144     3.5885   2.6682875    
  0.808433       3.5886   2.750648     
  -0.6460461     3.5887   3.0706666    
  0.18402034     3.5888   3.199575     
  0.3206101      3.5889   3.0615048    
  0.8094094      3.589    3.311698     
  1.5527077      3.5891   3.0982246    
  -0.5800999     3.5892   3.6584804    
  -0.08592749    3.5893   3.4055831    
  0.4977423      3.5894   3.2515967    
  0.99827784     3.5895   3.1337836    
  1.3683096      3.5896   3.1157973    
  0.9047658      3.5897   3.279194     
  -0.26591024    3.5898   3.5251231    
  0.8807975      3.5899   3.327153     
  0.192176       3.59     3.3088071    
  0.14696704     3.5901   3.0376048    
  0.45796508     3.5902   2.8746       
  0.1344362      3.5903   2.8935523    
  0.21316777     3.5904   3.0017326    
  0.487649       3.5905   2.9763322    
  0.82772225     3.5906   3.0786514    
  0.6173912      3.5907   3.0135133    
  0.4071275      3.5908   2.8527837    
  0.461171       3.5909   2.8206003    
  0.26102954     3.591    2.879227     
  0.788126       3.5911   2.71706      
  0.90425956     3.5912   2.6538022    
  0.37470582     3.5913   3.1405563    
  0.16378658     3.5914   3.1813114    
  0.61123294     3.5915   3.1286855    
  0.88538885     3.5916   2.806444     
  1.1695676      3.5917   2.6171846    
  0.41628477     3.5918   2.5131726    
  0.6777885      3.5919   2.4274518    
  0.8564982      3.592    2.4449396    
  0.24398068     3.5921   2.5415344    
  0.3946759      3.5922   2.5924356    
  -0.33725366    3.5923   2.666149     
  0.8687587      3.5924   2.5419748    
  0.2145576      3.5925   2.5761964    
  -0.56111103    3.5926   2.6695623    
  0.19617292     3.5927   2.7577698    
  0.15423737     3.5928   2.935342     
  1.2898947      3.5929   2.746323     
  0.8221709      3.593    2.817241     
  0.09874234     3.5931   3.1770113    
  0.75035846     3.5932   2.9964435    
  1.2388804      3.5933   3.3094256    
  -0.6718621     3.5934   3.56114      
  0.977965       3.5935   3.3817084    
  1.1569533      3.5936   3.614676     
  0.205687       3.5937   3.9959285    
  0.75840133     3.5938   3.870571     
  1.7608063      3.5939   3.7068152    
  -0.34609663    3.594    4.400822     
  -0.12371125    3.5941   4.5889673    
  1.2979996      3.5942   4.201573     
  0.36715308     3.5943   4.0823693    
  -0.14168027    3.5944   4.3600235    
  1.2128975      3.5945   3.7469156    
  0.8822169      3.5946   4.0672297    
  0.8631244      3.5947   3.971266     
  -0.3615387     3.5948   4.5059576    
  -0.20647086    3.5949   4.4391003    
  0.35662606     3.595    4.319055     
  0.21851231     3.5951   4.493219     
  0.83080125     3.5952   4.3052187    
  1.277914       3.5953   4.0499887    
  0.28343245     3.5954   4.3702145    
  1.197501       3.5955   3.4899442    
  1.7220551      3.5956   3.1970887    
  0.36112192     3.5957   3.2554507    
  0.25539982     3.5958   3.3794785    
  -0.037611198   3.5959   3.3889756    
  0.71136844     3.596    3.023096     
  0.7875757      3.5961   3.208913     
  0.4103306      3.5962   3.3253567    
  0.98898745     3.5963   3.570221     
  2.1177368      3.5964   3.5385437    
  0.05709765     3.5965   3.9881554    
  -0.4596284     3.5966   4.4000497    
  -0.27523437    3.5967   4.190943     
  0.5104287      3.5968   3.6446917    
  1.0113426      3.5969   3.4565098    
  -0.3367199     3.597    3.9842243    
  0.793003       3.5971   3.7897217    
  1.0998338      3.5972   3.6659968    
  1.1267225      3.5973   3.5539854    
  1.323598       3.5974   3.5102775    
  1.17687        3.5975   3.752567     
  0.31442302     3.5976   4.143125     
  0.054042194    3.5977   4.320611     
  1.0748299      3.5978   3.8752565    
  0.99139196     3.5979   3.9862092    
  0.56127536     3.598    4.228695     
  0.63242435     3.5981   4.4767494    
  0.28371555     3.5982   4.627789     
  1.1405637      3.5983   4.7638083    
  0.38976198     3.5984   5.0361567    
  -0.0022092448  3.5985   5.7293653    
  0.13960403     3.5986   5.7367215    
  0.22882366     3.5987   5.6825266    
  0.6889252      3.5988   5.362107     
  1.0774533      3.5989   5.083398     
  0.6845118      3.599    5.054269     
  0.9027495      3.5991   4.912212     
  1.2583516      3.5992   4.571972     
  0.9239796      3.5993   4.7396083    
  0.59107363     3.5994   4.4409585    
  1.1785474      3.5995   4.074421     
  0.529763       3.5996   4.4234776    
  0.931689       3.5997   4.39036      
  0.90195274     3.5998   4.6048284    
  0.071082175    3.5999   4.6451235    
  1.1289512      3.6      4.3579173    
  0.41844162     3.6001   4.6224995    
  -0.25939655    3.6002   4.8029494    
  0.89915293     3.6003   4.2015095    
  1.3378944      3.6004   3.8495755    
  0.53567404     3.6005   3.8528962    
  1.443254       3.6006   4.108543     
  0.22600268     3.6007   4.6134486    
  1.6712887      3.6008   4.413991     
  0.93257093     3.6009   3.9200892    
  0.43440735     3.601    4.666389     
  1.432059       3.6011   4.306278     
  -0.23008531    3.6012   5.1244802    
  1.3673087      3.6013   4.471293     
  1.6358504      3.6014   4.199133     
  1.0035981      3.6015   4.4492307    
  0.06036463     3.6016   5.076621     
  -0.07786534    3.6017   5.427971     
  1.460426       3.6018   4.96674      
  0.3166261      3.6019   5.3954625    
  0.74330074     3.602    4.7198       
  0.5929068      3.6021   4.5776896    
  0.17444871     3.6022   4.43231      
  0.59952927     3.6023   4.4569197    
  0.8736417      3.6024   4.5384774    
  0.3322068      3.6025   4.5651073    
  0.7233027      3.6026   4.486627     
  0.2905293      3.6027   4.505173     
  -0.048022665   3.6028   4.9855113    
  0.69104755     3.6029   4.4466233    
  1.187937       3.603    4.0213604    
  1.1612841      3.6031   3.8470325    
  0.58226484     3.6032   3.9247587    
  0.11549824     3.6033   4.13477      
  0.46782175     3.6034   4.0590153    
  1.2140571      3.6035   3.7637553    
  1.05661        3.6036   3.6470313    
  0.62139297     3.6037   3.916865     
  0.23389617     3.6038   4.241128     
  0.64507586     3.6039   4.1280584    
  1.4089928      3.604    3.9540257    
  1.3598047      3.6041   4.05052      
  0.48106965     3.6042   3.423736     
  1.7098311      3.6043   3.1852632    
  1.9935839      3.6044   3.5330994    
  1.3571886      3.6045   3.5202663    
  0.3810501      3.6046   3.9098425    
  0.04484004     3.6047   4.219175     
  1.1227943      3.6048   4.0018234    
  1.3290174      3.6049   3.9705837    
  0.7523259      3.605    4.231436     
  0.62752855     3.6051   4.3709626    
  0.74217933     3.6052   4.258878     
  0.45128855     3.6053   4.4679337    
  0.069893576    3.6054   4.580807     
  0.5023595      3.6055   4.1820135    
  -0.02832271    3.6056   4.41691      
  -0.09742058    3.6057   4.90998      
  0.72629035     3.6058   4.1379666    
  1.3214345      3.6059   4.0511937    
  0.7889081      3.606    4.7066345    
  1.0072585      3.6061   4.6329894    
  0.7744064      3.6062   5.183355     
  0.755964       3.6063   4.873317     
  0.99506766     3.6064   4.741004     
  1.1945887      3.6065   4.319798     
  1.2994686      3.6066   4.243085     
  0.9586306      3.6067   4.054553     
