# flux          loglam   ivar         
  5.7527246     3.5527   0.040573042  
  1.6787546     3.5528   0.081385404  
  3.0453966     3.5529   0.07194377   
  12.563077     3.553    0.071254894  
  -0.6791438    3.5531   0.08422375   
  3.9664044     3.5532   0.08666222   
  2.2063704     3.5533   0.08743645   
  4.1925006     3.5534   0.08538247   
  3.4971678     3.5535   0.10094938   
  -2.5458198    3.5536   0.10698618   
  1.1731211     3.5537   0.10422382   
  -0.55673456   3.5538   0.10000851   
  6.6606607     3.5539   0.089406155  
  3.7966447     3.554    0.09636154   
  -2.9497163    3.5541   0.099049166  
  -0.19439559   3.5542   0.098408     
  5.6241846     3.5543   0.094540805  
  4.481105      3.5544   0.08800209   
  4.4067807     3.5545   0.097397774  
  6.527304      3.5546   0.09422359   
  5.316224      3.5547   0.10878505   
  0.6534472     3.5548   0.116361946  
  0.91267556    3.5549   0.11416977   
  4.0542984     3.555    0.11127477   
  4.6204877     3.5551   0.10655828   
  2.3204494     3.5552   0.11482072   
  0.40175876    3.5553   0.11289709   
  0.92597187    3.5554   0.11451543   
  1.7090398     3.5555   0.10833271   
  -0.25299245   3.5556   0.10135642   
  5.2378554     3.5557   0.09062271   
  6.7247624     3.5558   0.09744134   
  1.88026       3.5559   0.098752774  
  -1.8120356    3.556    0.10865723   
  0.8872186     3.5561   0.10828501   
  2.5455325     3.5562   0.09712851   
  4.8199067     3.5563   0.09658667   
  2.3510122     3.5564   0.10872854   
  1.2556045     3.5565   0.11569229   
  3.6824467     3.5566   0.11501611   
  0.8549593     3.5567   0.12276342   
  1.9006813     3.5568   0.11853951   
  1.6352818     3.5569   0.120509654  
  -0.77046573   3.557    0.12585723   
  2.949035      3.5571   0.11226501   
  9.988443      3.5572   0.102706425  
  3.6427124     3.5573   0.113851875  
  -4.151806     3.5574   0.14137891   
  -1.602853     3.5575   0.1311333    
  -1.5616069    3.5576   0.14681381   
  -0.47699264   3.5577   0.13806476   
  6.8974786     3.5578   0.11650312   
  9.840494      3.5579   0.09332445   
  2.320801      3.558    0.103029996  
  4.677144      3.5581   0.09731525   
  7.927675      3.5582   0.0879103    
  5.9398403     3.5583   0.10027499   
  1.9449002     3.5584   0.12511763   
  0.82301617    3.5585   0.13824542   
  -0.25707185   3.5586   0.13201895   
  6.5188484     3.5587   0.12162289   
  7.522982      3.5588   0.116916604  
  6.251794      3.5589   0.11527373   
  7.5581717     3.559    0.117066115  
  4.731931      3.5591   0.123868935  
  5.9987307     3.5592   0.11803577   
  1.0571002     3.5593   0.13295186   
  1.5524322     3.5594   0.13546482   
  3.2542374     3.5595   0.1347253    
  0.7744928     3.5596   0.1415116    
  1.3099135     3.5597   0.15008804   
  0.5761218     3.5598   0.14998908   
  4.360692      3.5599   0.13547866   
  0.13664095    3.56     0.1518785    
  -1.7674445    3.5601   0.15565443   
  6.2960124     3.5602   0.13906963   
  8.803876      3.5603   0.11990223   
  4.6516914     3.5604   0.12911767   
  5.3432894     3.5605   0.14296146   
  0.79827046    3.5606   0.1572528    
  -0.29257786   3.5607   0.15006597   
  2.9403973     3.5608   0.1399349    
  -4.080866     3.5609   0.15334342   
  9.53053       3.561    0.12587361   
  7.866394      3.5611   0.13266258   
  2.2109673     3.5612   0.1682865    
  1.2713335     3.5613   0.16965315   
  2.6713772     3.5614   0.15516734   
  3.078547      3.5615   0.15542783   
  3.5586033     3.5616   0.17372751   
  0.83249223    3.5617   0.18990114   
  6.6208854     3.5618   0.16813715   
  8.576848      3.5619   0.17418918   
  0.3788453     3.562    0.19720142   
  0.4033848     3.5621   0.20391522   
  3.3984115     3.5622   0.16170771   
  4.980921      3.5623   0.14337625   
  5.1072264     3.5624   0.14966722   
  6.8895335     3.5625   0.1452242    
  6.872426      3.5626   0.16821922   
  -1.1009237    3.5627   0.19420673   
  1.8260106     3.5628   0.18341315   
  7.335601      3.5629   0.15372108   
  6.6696386     3.563    0.15878886   
  7.056215      3.5631   0.16205524   
  9.423543      3.5632   0.17345944   
  2.6183972     3.5633   0.20035155   
  4.20429       3.5634   0.19965497   
  2.4636507     3.5635   0.20816623   
  7.5200925     3.5636   0.17901109   
  6.138287      3.5637   0.22690874   
  -1.7239578    3.5638   0.21700454   
  8.107291      3.5639   0.1752711    
  2.3905606     3.564    0.17941059   
  3.3964975     3.5641   0.19563217   
  -0.27805763   3.5642   0.24760504   
  -1.5860661    3.5643   0.2471775    
  3.4691699     3.5644   0.23463474   
  0.7213467     3.5645   0.22840543   
  5.052904      3.5646   0.22339757   
  0.61130273    3.5647   0.24772821   
  2.6770613     3.5648   0.23028195   
  5.496378      3.5649   0.22521234   
