wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7370.6738717049475 inf 
7390.060458061375 0.00014955323791301378 -0.0005230291011596242
7409.447044417804 -2.418016713886074e-05 -5.1224550715342615e-05
7428.833630774234 1.4261316780334814e-06 -5.596381769269885e-06
7448.220217130663 -1.5424731900813124e-06 9.18161948946061e-07
7467.606803487091 -5.808531229535166e-07 -7.738664157435001e-07
7486.99338984352 -4.3896452794839973e-07 -2.12499462940761e-07
7506.37997619995 -1.7066807691373908e-07 -9.178634560250886e-08
7525.766562556379 -8.337879665735615e-08 -1.9680364346718403e-08
7545.153148912808 3.996881281461194e-08 9.421847137912955e-10
7564.539735269236 -5.840715126592485e-08 1.9809255495321165e-08
7585.072396299181 2.7238162745286977e-08 4.286004827517287e-08
7606.054412965655 5.1533711861367154e-08 6.709595120656208e-08
7627.0364296321295 6.312175209139986e-09 9.468125399272688e-08
7648.018446298603 1.6416705416925806e-08 4.205638508131066e-08
7669.000462965077 4.484820476553705e-08 1.0428759952431595e-07
7689.982479631551 -4.1290281994390907e-08 2.4254114208172753e-08
7710.964496298025 6.369090205273099e-08 4.425175069213075e-10
7731.946512964498 6.642810842620891e-08 5.5948409719312066e-08
7752.928529630973 2.245701230482143e-08 4.5679762051216105e-08
7775.007265728696 1.3103752808343123e-07 4.3375238397100374e-08
7797.643522630807 -2.053010507695183e-09 7.079557986316797e-08
7820.279779532917 1.876105179559701e-08 5.780601035474325e-08
7842.916036435027 5.486047182444399e-08 6.523294758802296e-08
7865.5522933371385 1.642367420765894e-07 1.5942808271560715e-07
7888.188550239249 7.761937435333252e-08 9.231606552359532e-08
7910.824807141359 1.1794004369101711e-07 7.790001698702018e-08
7933.461064043469 1.5379158423221728e-08 1.1633559310804346e-08
7956.553722251799 -3.7649575801934785e-08 3.500785923317936e-08
7980.884365477052 -1.4605437601796356e-08 1.891188622264812e-08
8005.215008702305 -1.6086822132357865e-08 2.079857652463541e-08
8029.5456519275585 9.597974688448018e-08 9.942604299844066e-08
8053.8762951528115 8.996291110295135e-08 5.976774702009992e-08
8078.206938378066 2.268975416488979e-07 1.362273531163231e-07
8102.537581603319 4.5880700391319947e-08 8.538490580397068e-08
8126.868224828573 1.6298316761113435e-07 7.521403992989979e-08
8152.002980058526 5.8569934775962006e-08 2.420477303585566e-08
8178.080635768031 -1.5660508616463944e-08 4.658013685403672e-08
8204.158291477537 1.2749128832699204e-07 1.0117922074579924e-07
8230.235947187042 1.4282012404647297e-07 1.450403211293078e-07
8256.313602896547 7.167528673621151e-08 2.469792986709698e-08
8282.391258606052 1.1390167264245198e-07 1.0255885140068763e-07
8308.468914315557 1.3598827382276752e-07 8.067433124565039e-08
8334.85976260554 8.579615472398072e-08 1.1572573797736117e-07
8362.73378969819 1.0336782742729711e-07 1.1131967257190453e-07
8390.60781679084 6.54620974757218e-08 1.0769213370285452e-07
8418.48184388349 2.4026430147183592e-08 4.1202881263992846e-08
8446.35587097614 1.4105227626376355e-07 1.1018892859063482e-07
8474.22989806879 2.859533999164317e-08 3.124909555961459e-08
8502.10392516144 1.6152741974740408e-07 1.3452630482886432e-07
8530.637613028473 -8.281543535596296e-09 6.328989081605105e-08
8560.354443316495 -6.455032215239196e-08 1.8242255998064352e-08
8590.071273604517 3.3930408938529537e-08 3.1304769086521925e-08
8619.78810389254 8.268065180301054e-08 9.964380803544712e-08
8649.504934180562 7.569530461368893e-08 6.354803922413213e-08
8679.221764468584 8.280037336208363e-08 8.956834368574337e-08
8708.938594756606 -3.342440303322128e-08 -1.720457864361069e-08
8740.474111413134 7.572895557789279e-08 4.274460345921591e-08
8772.076992739514 4.5630905072467255e-08 3.021482987258007e-08
8803.679874065894 4.444033918016552e-08 6.76227815994044e-08
8835.282755392274 9.21271649670278e-08 6.023596763425194e-08
8866.885636718654 1.2430864122099775e-07 7.761296913738114e-08
8898.488518045035 6.258878675762286e-08 1.0135996975151836e-07
8931.923672254185 1.1430239120433708e-08 6.934729460013264e-08
8965.450860980063 5.645801402058865e-08 1.1799037747455837e-07
8998.978049705944 1.5472152576314248e-07 1.286414025143258e-07
9032.505238431822 1.0523987566687043e-07 1.1683797329203672e-07
9066.032427157703 8.099098297475744e-08 9.082313393710035e-08
9100.118207599975 1.4009251538329818e-07 1.431686381274187e-07
