#       wave          f1
#
        3846   1.006e-17
        3847   1.063e-17
        3847   1.121e-17
        3847   1.221e-17
        3848   1.324e-17
        3848   1.218e-17
        3849   9.858e-18
        3849   8.024e-18
        3849   7.216e-18
        3850   6.471e-18
        3850   9.345e-18
        3850   1.222e-17
        3851   1.306e-17
        3851   1.308e-17
        3852   1.311e-17
        3852   1.315e-17
        3852   1.327e-17
        3853   1.406e-17
        3853   1.486e-17
        3854   1.444e-17
        3854    1.37e-17
        3854    1.32e-17
        3855   1.294e-17
        3855   1.289e-17
        3856   1.373e-17
        3856   1.457e-17
        3856   1.358e-17
        3857   1.231e-17
        3857    1.27e-17
        3857    1.44e-17
        3858   1.522e-17
        3858   1.345e-17
        3859   1.168e-17
        3859   1.347e-17
        3859   1.549e-17
        3860   1.658e-17
        3860   1.712e-17
        3860   1.627e-17
        3861   1.245e-17
        3861   8.698e-18
        3862   1.068e-17
        3862   1.267e-17
        3862   1.358e-17
        3863   1.402e-17
        3863   1.428e-17
        3864   1.425e-17
        3864   1.426e-17
        3864   1.471e-17
        3865   1.515e-17
        3865   1.509e-17
        3866   1.487e-17
        3866   1.418e-17
        3866   1.292e-17
        3867   1.187e-17
        3867   1.225e-17
        3867   1.262e-17
        3868   1.646e-17
        3868   2.108e-17
        3869    2.53e-17
        3869   2.912e-17
        3869   3.211e-17
        3870   3.141e-17
        3870   3.071e-17
        3870   2.724e-17
        3871   2.336e-17
        3871   1.954e-17
        3872   1.577e-17
        3872   1.243e-17
        3872   1.052e-17
        3873   8.612e-18
        3873   8.765e-18
        3874    9.11e-18
        3874   1.248e-17
        3874   1.789e-17
        3875   2.144e-17
        3875   2.009e-17
        3876   1.875e-17
        3876   1.635e-17
        3876   1.392e-17
        3877   1.373e-17
        3877   1.484e-17
        3877   1.418e-17
        3878   9.679e-18
        3878    5.18e-18
        3879   8.533e-18
        3879   1.194e-17
        3879   1.199e-17
        3880   1.039e-17
        3880   1.032e-17
        3880   1.308e-17
        3881    1.58e-17
        3881   1.724e-17
        3882   1.867e-17
        3882   1.649e-17
        3882   1.277e-17
        3883   1.173e-17
        3883   1.508e-17
        3884   1.824e-17
        3884   1.795e-17
        3884   1.766e-17
        3885   1.664e-17
        3885   1.535e-17
        3886   1.436e-17
        3886   1.382e-17
        3886   1.332e-17
        3887   1.328e-17
        3887   1.325e-17
        3887   1.406e-17
        3888   1.516e-17
        3888   1.694e-17
        3889   1.967e-17
        3889   2.189e-17
        3889   1.929e-17
        3890   1.668e-17
        3890   1.696e-17
        3890   1.812e-17
        3891    1.72e-17
        3891   1.359e-17
        3892   1.002e-17
        3892   6.855e-18
        3892   3.686e-18
        3893   4.957e-18
        3893   7.505e-18
        3894   8.911e-18
        3894   8.899e-18
        3894   9.123e-18
        3895   1.118e-17
        3895   1.323e-17
        3896   1.148e-17
        3896   8.669e-18
        3896   8.439e-18
        3897   1.135e-17
        3897   1.416e-17
        3897   1.616e-17
        3898   1.817e-17
        3898   1.531e-17
        3899   1.112e-17
        3899   9.492e-18
        3899   1.099e-17
        3900   1.231e-17
        3900    1.23e-17
        3900   1.229e-17
        3901   1.209e-17
        3901   1.184e-17
        3902   1.199e-17
        3902   1.262e-17
        3902   1.328e-17
        3903   1.412e-17
        3903   1.495e-17
        3904   1.492e-17
        3904   1.464e-17
        3904   1.395e-17
        3905   1.274e-17
        3905   1.176e-17
        3906   1.288e-17
        3906   1.399e-17
        3906   1.438e-17
        3907   1.454e-17
        3907    1.48e-17
        3907   1.519e-17
        3908   1.561e-17
        3908   1.634e-17
        3909   1.706e-17
        3909   1.698e-17
        3909   1.662e-17
        3910   1.566e-17
        3910   1.382e-17
        3910   1.206e-17
        3911   1.149e-17
        3911   1.091e-17
        3912   1.137e-17
        3912   1.224e-17
        3912   1.299e-17
        3913   1.353e-17
        3913   1.401e-17
        3914   1.299e-17
        3914   1.196e-17
        3914   1.106e-17
        3915   1.022e-17
        3915   1.035e-17
        3916   1.226e-17
        3916   1.416e-17
        3916   1.284e-17
        3917   1.152e-17
        3917   1.355e-17
        3917   1.729e-17
        3918   1.854e-17
        3918   1.444e-17
        3919   1.034e-17
        3919   8.916e-18
        3919   7.574e-18
        3920   1.133e-17
        3920   1.815e-17
        3920   2.184e-17
        3921   1.737e-17
        3921    1.29e-17
        3922   1.594e-17
        3922   1.955e-17
        3922    1.94e-17
        3923   1.657e-17
        3923   1.407e-17
        3924   1.266e-17
        3924   1.125e-17
        3924   1.321e-17
        3925    1.56e-17
        3925   1.685e-17
        3926   1.712e-17
        3926   1.665e-17
        3926   1.291e-17
        3927   9.182e-18
        3927   1.203e-17
        3927   1.617e-17
        3928   1.686e-17
        3928   1.388e-17
        3929   1.114e-17
        3929   9.983e-18
        3929   8.822e-18
